P1M7,A,2014-09-16

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,0.672,350.000,150.000,349.000,152.000,0,0,57,400,0.000,0.000,0.919,0.660,male
1,1.782,293.653,541.899,291.000,540.000,0,0,57,400,0.000,0.444,0.632,0.661,tissue
2,1.337,458.128,181.749,446.000,188.000,0,0,57,400,0.000,0.402,0.626,0.603,woods
3,2.696,198.850,480.972,201.000,482.000,0,0,57,400,0.000,0.395,0.605,0.534,table
4,2.252,531.926,266.917,548.000,286.000,0,0,57,400,0.000,0.428,0.724,1.083,scanner
5,1.850,152.036,378.463,147.000,370.000,0,0,57,400,0.000,0.376,0.844,0.811,ceiling
6,3.612,547.964,378.463,553.000,367.000,0,0,57,400,0.000,0.416,0.926,1.427,suitcase
7,3.168,168.074,266.917,187.000,280.000,0,0,57,400,0.000,0.342,0.745,0.649,tissue
8,2.766,501.150,480.972,502.000,469.000,0,0,57,400,0.000,0.389,0.805,1.977,printer
9,2.371,241.872,181.749,235.000,184.000,0,0,57,400,0.000,0.218,0.817,0.845,keyboard
10,4.634,406.347,541.899,407.000,542.000,0,0,57,400,0.000,0.329,0.632,1.985,toothpaste
11,4.189,350.000,150.000,353.000,153.000,0,0,57,400,0.000,0.469
