P11M7,B,2014-09-16

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,0.489,350.000,150.000,352.000,151.000,0,0,27,400,0.000,0.242,0.802,0.444,door
1,1.635,293.653,541.899,294.000,540.000,0,0,27,400,0.000,0.401,0.762,1.301,pittsburgh
2,1.234,458.128,181.749,457.000,187.000,0,0,27,400,0.000,0.472,0.669,1.114,computer
3,2.780,198.850,480.972,206.000,477.000,0,0,27,400,0.000,0.672,0.982,0.444,tree
4,2.379,531.926,266.917,529.000,270.000,0,0,27,400,0.000,0.389,0.674,0.726,friend
5,1.907,152.036,378.463,143.000,379.000,0,0,27,400,0.000,0.439,0.782,1.106,computer
6,4.317,547.964,378.463,547.000,372.000,0,0,27,400,0.000,0.486,0.840,2.475,university
7,3.916,168.074,266.917,176.000,268.000,0,0,27,400,0.000,0.667,0.815,0.637,woods
8,3.444,501.150,480.972,496.000,479.000,0,0,27,400,0.000,0.395,0.867,0.806,garbage
9,2.772,241.872,181.749,240.000,182.000,0,0,27,400,0.000,0.461,0.817,1.107,carnegie
10,5.363,406.347,541.899,407.000,541.000,0,0,27,400,0.000,0.468,0.651,0.746,sheets
11,4.962,350.000,150.000,357.000,152.000,0,0,27,400,0.000,0.410
