P12M5,B,2014-09-17

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,0.273,350.000,150.000,349.000,154.000,0,0,27,400,0.000,0.805,0.680,0.785,ceiling
1,1.552,293.653,541.899,295.000,537.000,0,0,27,400,0.000,0.582,0.796,0.346,door
2,0.970,458.128,181.749,452.000,179.000,0,0,27,400,0.000,0.386,0.651,2.834,carnegie
3,2.658,198.850,480.972,198.000,481.000,0,0,27,400,0.000,0.706,0.599,0.570,cafe
4,2.076,531.926,266.917,526.000,262.000,0,0,27,400,0.000,0.230,0.838,0.441,yahoo
5,1.690,152.036,378.463,156.000,374.000,0,0,27,400,0.000,0.591,0.638,0.736,college
6,4.653,547.964,378.463,543.000,384.000,0,0,27,400,0.000,0.481,0.864,0.850,avenue
7,4.071,168.074,266.917,174.000,267.000,0,0,27,400,0.000,0.477,0.800,1.444,toothpaste
8,3.686,501.150,480.972,501.000,479.000,0,0,27,400,0.000,0.467,0.638,0.832,garbage
9,2.979,241.872,181.749,245.000,185.000,0,0,27,400,0.000,0.568,0.689,0.609,sheets
10,5.748,406.347,541.899,406.000,544.000,0,0,27,400,0.000,0.613,0.709,0.371,gates
11,5.166,350.000,150.000,347.000,151.000,0,0,27,400,0.000,0.479
