P12M7,C,2014-09-17

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,1.074,350.000,150.000,352.000,152.000,0,0,13,400,0.000,0.000,0.678,0.542,apple
1,2.805,293.653,541.899,294.000,543.000,0,0,13,400,0.000,0.547,0.733,0.518,sheets
2,2.259,458.128,181.749,460.000,181.000,0,0,13,400,0.000,0.548,0.648,0.510,google
3,4.058,198.850,480.972,196.000,481.000,0,0,13,400,0.000,0.529,0.652,0.509,mouse
4,3.512,531.926,266.917,529.000,269.000,0,0,13,400,0.000,0.462,0.688,0.440,melon
5,2.964,152.036,378.463,154.000,381.000,0,0,13,400,0.000,0.614,0.794,0.464,yahoo
6,5.396,547.964,378.463,547.000,379.000,0,0,13,400,0.000,0.573,0.671,0.502,woods
7,4.850,168.074,266.917,168.000,267.000,0,0,13,400,0.000,0.386,0.737,0.860,napkin
8,4.302,501.150,480.972,503.000,479.000,0,0,13,400,0.000,0.626,0.737,0.543,google
9,3.772,241.872,181.749,243.000,180.000,0,0,13,400,0.000,0.415,0.615,0.312,male
10,6.580,406.347,541.899,408.000,542.000,0,0,13,400,0.000,0.575,0.805,0.450,yahoo
11,6.033,350.000,150.000,354.000,150.000,0,0,13,400,0.000,0.583
