P12T4,B,2014-09-10

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,1.067,350.000,150.000,347.000,147.000,0,0,27,400,0.000,1.316,0.738,0.717,center
1,2.827,293.653,541.899,298.000,546.000,0,0,27,400,0.000,0.253,0.658,2.151,street
2,2.574,458.128,181.749,458.000,183.000,0,0,27,400,0.000,0.399,0.626,0.970,keyboard
3,4.512,198.850,480.972,202.000,469.000,0,0,27,400,0.000,0.233,0.815,0.818,computer
4,4.259,531.926,266.917,529.000,268.000,0,0,27,400,0.000,0.248,0.640,1.623,male
5,3.860,152.036,378.463,151.000,385.000,0,0,27,400,0.000,0.309,0.565,0.439,melon
6,5.966,547.964,378.463,557.000,374.000,0,0,27,400,0.000,0.379,0.700,0.447,yahoo
7,5.713,168.074,266.917,164.000,262.000,0,0,27,400,0.000,0.443,0.594,0.680,kettle
8,5.314,501.150,480.972,506.000,478.000,0,0,27,400,0.000,0.341,0.572,0.780,kettle
9,5.081,241.872,181.749,252.000,190.000,1,0,27,400,0.063,0.303,0.869,0.780,flower
10,7.272,406.347,541.899,409.000,538.000,0,0,27,400,0.000,0.232,0.634,0.631,gates
11,7.019,350.000,150.000,355.000,144.000,0,0,27,400,0.000,0.311
