P12T5,C,2014-09-10

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,1.455,350.000,150.000,352.000,152.000,0,0,13,400,0.000,1.243,0.647,0.553,mouse
1,3.487,293.653,541.899,294.000,539.000,0,0,13,400,0.000,0.255,0.723,0.885,college
2,3.232,458.128,181.749,458.000,181.000,0,0,13,400,0.000,0.625,0.616,0.253,you
3,6.256,198.850,480.972,202.000,481.000,0,0,13,400,0.000,0.375,1.204,0.778,printer
4,6.001,531.926,266.917,534.000,269.000,0,0,13,400,0.000,0.317,0.654,2.744,table
5,5.376,152.036,378.463,153.000,378.000,0,0,13,400,0.000,0.288,0.645,0.493,table
6,8.040,547.964,378.463,551.000,379.000,0,0,13,400,0.000,0.300,0.618,0.988,carnegie
7,7.785,168.074,266.917,166.000,268.000,0,0,13,400,0.000,0.403,0.708,0.455,woods
8,7.160,501.150,480.972,502.000,483.000,0,0,13,400,0.000,0.306,0.733,0.784,computer
9,6.784,241.872,181.749,247.000,182.000,0,0,13,400,0.000,0.270,0.840,1.347,microphone
10,10.934,406.347,541.899,409.000,545.000,0,0,13,400,0.000,0.302,0.593,0.255,you
11,10.679,350.000,150.000,352.000,148.000,0,0,13,400,0.000,0.513
