P13T6,A,2014-09-12

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,0.501,350.000,150.000,360.000,163.000,0,0,57,400,0.000,0.304,0.531,0.642,computer
1,1.541,293.653,541.899,292.000,518.000,0,0,57,400,0.000,0.173,0.575,1.395,woods
2,1.368,458.128,181.749,459.000,196.000,0,0,57,400,0.000,0.276,0.502,1.013,speakers
3,2.475,198.850,480.972,216.000,469.000,0,0,57,400,0.000,0.172,0.492,0.269,male
4,2.302,531.926,266.917,519.000,279.000,0,0,57,400,0.000,0.274,0.469,0.582,sheets
5,2.026,152.036,378.463,161.000,374.000,0,0,57,400,0.000,0.138,0.509,0.353,lamp
6,3.530,547.964,378.463,548.000,385.000,0,0,57,400,0.000,0.335,0.482,0.631,fingers
7,3.356,168.074,266.917,171.000,270.000,0,0,57,400,0.000,0.200,0.492,1.666,government
8,3.081,501.150,480.972,486.000,463.000,0,0,57,400,0.000,0.305,0.513,0.659,speakers
9,2.909,241.872,181.749,258.000,201.000,0,0,57,400,0.000,0.173,0.656,1.114,avenue
10,4.569,406.347,541.899,403.000,541.000,0,0,57,400,0.000,0.287,0.521,1.410,cafe
11,4.396,350.000,150.000,348.000,161.000,0,0,57,400,0.000,0.215
