P14F2,B,2014-09-11

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,1.018,350.000,150.000,344.000,156.000,0,0,27,400,0.000,0.598,1.823,0.291,cafe
1,4.160,293.653,541.899,281.000,536.000,1,0,27,400,0.961,0.814,1.327,0.311,door
2,3.346,458.128,181.749,454.000,186.000,0,0,27,400,0.000,1.825,1.461,1.086,chair
3,7.762,198.850,480.972,203.000,484.000,0,0,27,400,0.000,1.401,1.316,0.414,lamp
4,6.948,531.926,266.917,532.000,272.000,0,0,27,400,0.000,0.940,1.432,2.060,female
5,5.123,152.036,378.463,143.000,379.000,0,0,27,400,0.000,0.724,1.261,0.607,kettle
6,10.255,547.964,378.463,536.000,369.000,1,0,27,400,2.254,0.876,1.146,0.202,you
7,9.440,168.074,266.917,168.000,283.000,1,0,27,400,3.083,0.969,1.258,2.730,candle
8,7.616,501.150,480.972,495.000,483.000,0,0,27,400,0.000,0.746,1.196,2.171,suitcase
9,6.215,241.872,181.749,225.000,191.000,1,0,27,400,6.241,0.735,1.342,0.281,male
10,12.326,406.347,541.899,405.000,543.000,0,0,27,400,0.000,0.686,1.108,0.180,her
11,11.511,350.000,150.000,354.000,153.000,0,0,27,400,0.000,0.783
