P15T3,A,2014-09-10

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,0.943,350.000,150.000,332.000,144.000,0,0,57,400,0.000,1.214,0.782,1.173,speakers
1,3.009,293.653,541.899,302.000,545.000,0,0,57,400,0.000,0.430,0.886,0.746,tissue
2,2.579,458.128,181.749,456.000,198.000,0,0,57,400,0.000,0.478,0.768,2.104,candle
3,4.850,198.850,480.972,203.000,466.000,0,0,57,400,0.000,0.481,0.766,1.550,university
4,4.420,531.926,266.917,526.000,279.000,0,0,57,400,0.000,0.676,0.678,1.958,avenue
5,3.942,152.036,378.463,151.000,379.000,0,0,57,400,0.000,0.447,0.826,1.767,government
6,6.424,547.964,378.463,544.000,381.000,0,0,57,400,0.000,0.627,0.780,0.815,center
7,5.994,168.074,266.917,177.000,269.000,0,0,57,400,0.000,0.414,0.638,0.963,ceiling
8,5.516,501.150,480.972,491.000,472.000,0,0,57,400,0.000,0.797,0.644,0.547,cafe
9,5.035,241.872,181.749,243.000,187.000,0,0,57,400,0.000,0.398,0.824,0.646,bring
10,8.335,406.347,541.899,393.000,533.000,0,0,57,400,0.000,0.489,0.762,0.273,you
11,7.905,350.000,150.000,342.000,153.000,0,0,57,400,0.000,0.497
