P17F6,A,2014-09-07

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,1.782,350.000,150.000,355.000,162.000,0,0,57,400,0.000,1.161,1.156,0.463,woods
1,3.556,293.653,541.899,292.000,533.000,0,0,57,400,0.000,0.926,0.925,0.438,apple
2,2.630,458.128,181.749,458.000,180.000,0,0,57,400,0.000,1.043,1.153,1.034,pittsburgh
3,5.559,198.850,480.972,213.000,464.000,0,0,57,400,0.000,0.989,0.836,1.109,garbage
4,4.633,531.926,266.917,533.000,259.000,0,0,57,400,0.000,1.398,1.065,0.261,male
5,3.590,152.036,378.463,147.000,378.000,0,0,57,400,0.000,1.544,1.034,0.656,melon
6,7.543,547.964,378.463,551.000,365.000,0,0,57,400,0.000,1.169,1.266,0.590,kettle
7,6.617,168.074,266.917,152.000,268.000,0,0,57,400,0.000,0.977,0.895,0.281,male
8,5.574,501.150,480.972,507.000,461.000,0,0,57,400,0.000,1.267,0.945,1.091,microphone
9,4.586,241.872,181.749,249.000,171.000,0,0,57,400,0.000,0.972,0.915,2.192,melon
10,9.710,406.347,541.899,403.000,551.000,0,0,57,400,0.000,1.861,1.017,2.449,apple
11,8.784,350.000,150.000,345.000,147.000,0,0,57,400,0.000,1.237
