P18T6,C,2014-09-17

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,0.937,350.000,150.000,350.000,151.000,0,0,13,400,0.000,0.517,0.551,1.179,pittsburgh
1,2.938,293.653,541.899,294.000,542.000,0,0,13,400,0.000,0.434,0.613,1.100,suitcase
2,2.504,458.128,181.749,457.000,181.000,0,0,13,400,0.000,0.260,0.483,0.579,friend
3,4.582,198.850,480.972,199.000,479.000,0,0,13,400,0.000,0.276,0.503,0.517,gates
4,4.148,531.926,266.917,534.000,264.000,0,0,13,400,0.000,0.216,0.574,0.755,college
5,3.889,152.036,378.463,148.000,377.000,0,0,13,400,0.000,0.121,0.555,1.124,toothpaste
6,6.523,547.964,378.463,549.000,379.000,0,0,13,400,0.000,0.205,0.471,0.728,street
7,6.089,168.074,266.917,168.000,267.000,0,0,13,400,0.000,0.075,0.491,0.730,speakers
8,5.829,501.150,480.972,503.000,481.000,0,0,13,400,0.000,0.202,0.481,1.222,college
9,5.553,241.872,181.749,241.000,184.000,0,0,13,400,0.000,0.232,0.507,0.249,him
10,8.240,406.347,541.899,408.000,541.000,0,0,13,400,0.000,0.349,0.602,1.235,tissue
11,7.806,350.000,150.000,349.000,152.000,0,0,13,400,0.000,0.312
