P18T7,B,2014-09-17

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,0.602,350.000,150.000,358.000,146.000,0,0,27,400,0.000,0.575,0.684,1.031,government
1,2.065,293.653,541.899,296.000,541.000,0,0,27,400,0.000,0.325,0.833,1.197,yahoo
2,1.740,458.128,181.749,456.000,186.000,0,0,27,400,0.000,0.348,0.535,0.712,napkin
3,3.800,198.850,480.972,198.000,477.000,0,0,27,400,0.000,0.361,0.511,0.683,friend
4,3.475,531.926,266.917,534.000,268.000,0,0,27,400,0.000,0.345,0.472,0.638,female
5,3.127,152.036,378.463,150.000,377.000,0,0,27,400,0.000,0.272,0.529,1.074,university
6,5.365,547.964,378.463,542.000,378.000,0,0,27,400,0.000,0.361,0.457,0.569,kettle
7,5.039,168.074,266.917,168.000,261.000,0,0,27,400,0.000,0.368,0.482,1.009,suitcase
8,4.692,501.150,480.972,498.000,473.000,0,0,27,400,0.000,0.353,0.573,1.483,restaurant
9,4.330,241.872,181.749,238.000,184.000,0,0,27,400,0.000,0.282,0.517,0.799,napkin
10,6.914,406.347,541.899,406.000,542.000,0,0,27,400,0.000,0.347,0.514,0.856,research
11,6.589,350.000,150.000,354.000,152.000,0,0,27,400,0.000,0.371
