P23M4,C,2014-09-17

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,0.936,350.000,150.000,349.000,151.000,0,0,13,400,0.000,0.000,0.728,0.530,woods
1,2.151,293.653,541.899,296.000,543.000,0,0,13,400,0.000,0.341,0.704,0.638,napkin
2,1.809,458.128,181.749,456.000,183.000,0,0,13,400,0.000,0.401,0.661,0.591,google
3,3.537,198.850,480.972,200.000,480.000,0,0,13,400,0.000,0.331,0.678,0.296,male
4,3.195,531.926,266.917,530.000,269.000,0,0,13,400,0.000,0.321,0.748,0.265,lamp
5,2.794,152.036,378.463,151.000,380.000,0,0,13,400,0.000,0.522,0.823,0.659,google
6,4.948,547.964,378.463,550.000,380.000,0,0,13,400,0.000,0.341,0.720,0.421,table
7,4.607,168.074,266.917,171.000,268.000,0,0,13,400,0.000,0.433,0.651,0.158,her
8,4.206,501.150,480.972,500.000,485.000,0,0,13,400,0.000,0.334,0.663,0.599,tissue
9,3.875,241.872,181.749,244.000,186.000,0,0,13,400,0.000,0.353,0.722,0.550,woods
10,6.638,406.347,541.899,409.000,544.000,0,0,13,400,0.000,0.495,0.600,0.642,avenue
11,6.297,350.000,150.000,354.000,151.000,0,0,13,400,0.000,0.365
