P30T1,B,2014-09-08

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,0.866,350.000,150.000,357.000,160.000,0,0,27,400,0.000,0.422,0.966,0.827,candle
1,3.587,293.653,541.899,295.000,530.000,0,0,27,400,0.000,0.972,0.978,1.128,center
2,2.615,458.128,181.749,457.000,182.000,0,0,27,400,0.000,0.544,0.887,0.949,center
3,6.597,198.850,480.972,188.000,492.000,1,0,27,400,2.471,0.485,1.227,2.035,government
4,5.624,531.926,266.917,535.000,275.000,0,0,27,400,0.000,0.551,0.990,1.136,napkin
5,5.080,152.036,378.463,144.000,386.000,0,0,27,400,0.000,0.593,1.044,0.277,her
6,10.053,547.964,378.463,557.000,378.000,0,0,27,400,0.000,0.458,0.895,0.407,you
7,9.080,168.074,266.917,169.000,256.000,0,0,27,400,0.000,0.514,0.805,0.892,mouse
8,8.536,501.150,480.972,504.000,473.000,0,0,27,400,0.000,0.438,0.872,0.962,gates
9,8.051,241.872,181.749,230.000,187.000,0,0,27,400,0.000,0.506,0.699,0.927,candle
10,11.778,406.347,541.899,406.000,537.000,0,0,27,400,0.000,0.573,0.835,0.456,gates
11,10.806,350.000,150.000,353.000,153.000,0,0,27,400,0.000,0.519
