P30T1,C,2014-09-08

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,1.480,350.000,150.000,351.000,156.000,1,0,13,400,0.083,2.324,0.830,1.903,toothpaste
1,4.125,293.653,541.899,295.000,541.000,0,0,13,400,0.000,0.608,0.824,0.741,apple
2,3.517,458.128,181.749,461.000,184.000,0,0,13,400,0.000,0.431,0.763,5.796,government
3,6.345,198.850,480.972,200.000,483.000,0,0,13,400,0.000,0.624,0.899,0.808,towel
4,5.737,531.926,266.917,535.000,268.000,0,0,13,400,0.000,0.542,1.009,0.410,door
5,5.306,152.036,378.463,155.000,376.000,0,0,13,400,0.000,0.488,0.663,0.721,candle
6,9.105,547.964,378.463,547.000,374.000,0,0,13,400,0.000,0.479,0.707,1.219,fingers
7,8.497,168.074,266.917,169.000,268.000,0,0,13,400,0.000,0.637,0.848,1.696,avenue
8,8.066,501.150,480.972,501.000,481.000,0,0,13,400,0.000,0.518,0.648,0.738,candle
9,7.442,241.872,181.749,242.000,185.000,0,0,13,400,0.000,0.515,0.711,0.661,apple
10,12.275,406.347,541.899,406.000,541.000,0,0,13,400,0.000,0.602,0.739,2.674,tree
11,11.667,350.000,150.000,354.000,151.000,0,0,13,400,0.000,0.486
