P32M5,B,2014-09-16

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,0.667,350.000,150.000,353.000,151.000,0,0,27,400,0.000,0.000,0.765,1.448,center
1,1.943,293.653,541.899,287.000,550.000,0,0,27,400,0.000,0.594,0.627,0.674,apple
2,1.348,458.128,181.749,463.000,186.000,0,0,27,400,0.000,0.697,0.761,0.574,door
3,3.497,198.850,480.972,194.000,478.000,0,0,27,400,0.000,0.688,0.618,1.438,ceiling
4,2.903,531.926,266.917,530.000,267.000,0,0,27,400,0.000,0.567,0.967,2.909,yahoo
5,2.205,152.036,378.463,146.000,375.000,0,0,27,400,0.000,0.643,0.880,0.526,you
6,5.042,547.964,378.463,552.000,383.000,0,0,27,400,0.000,0.648,0.794,1.225,fingers
7,4.448,168.074,266.917,170.000,265.000,0,0,27,400,0.000,0.603,0.656,1.034,scanner
8,3.750,501.150,480.972,503.000,481.000,0,0,27,400,0.000,0.653,1.000,1.103,fingers
9,3.062,241.872,181.749,237.000,178.000,0,0,27,400,0.000,0.576,0.645,2.030,speakers
10,6.434,406.347,541.899,405.000,541.000,0,0,27,400,0.000,0.596,0.927,0.853,table
11,5.839,350.000,150.000,365.000,144.000,1,0,27,400,3.155,0.570
