P5M2,C,2014-09-16

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,0.913,350.000,150.000,350.000,152.000,0,0,13,400,0.000,0.055,0.772,0.672,street
1,2.581,293.653,541.899,295.000,543.000,0,0,13,400,0.000,0.523,0.836,0.240,you
2,2.058,458.128,181.749,460.000,184.000,0,0,13,400,0.000,0.411,0.720,0.432,cafe
3,3.913,198.850,480.972,201.000,482.000,0,0,13,400,0.000,0.319,0.776,3.495,backpack
4,3.390,531.926,266.917,541.000,267.000,1,0,13,400,3.074,0.520,0.751,0.257,her
5,2.979,152.036,378.463,155.000,377.000,0,0,13,400,0.000,0.343,0.994,1.203,government
6,5.186,547.964,378.463,551.000,379.000,0,0,13,400,0.000,0.466,0.806,0.364,lamp
7,4.662,168.074,266.917,169.000,267.000,0,0,13,400,0.000,0.557,0.723,0.675,avenue
8,4.251,501.150,480.972,503.000,476.000,0,0,13,400,0.000,0.425,0.822,1.036,ceiling
9,3.932,241.872,181.749,243.000,179.000,0,0,13,400,0.000,0.557,0.761,2.145,table
10,7.010,406.347,541.899,409.000,540.000,0,0,13,400,0.000,0.325,0.831,0.828,garbage
11,6.487,350.000,150.000,351.000,153.000,0,0,13,400,0.000,0.396
