P6F1,C,2014-09-13

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,12.402,350.000,150.000,351.000,158.000,1,0,13,400,2.062,1.087,1.643,0.454,tree
1,19.389,293.653,541.899,293.000,546.000,0,0,13,400,0.000,1.744,1.783,1.641,apple
2,17.646,458.128,181.749,455.000,183.000,0,0,13,400,0.000,1.315,2.679,0.842,avenue
3,24.761,198.850,480.972,199.000,481.000,0,0,13,400,0.000,1.542,1.473,1.493,suitcase
4,23.017,531.926,266.917,538.000,272.000,1,0,13,400,1.920,2.747,1.514,0.203,you
5,21.702,152.036,378.463,155.000,383.000,0,0,13,400,0.000,5.033,1.532,0.734,avenue
6,30.726,547.964,378.463,544.000,382.000,0,0,13,400,0.000,1.766,1.353,1.192,street
7,28.983,168.074,266.917,167.000,269.000,0,0,13,400,0.000,2.174,1.312,3.324,carnegie
8,27.667,501.150,480.972,498.000,482.000,0,0,13,400,0.000,1.073,1.400,0.383,cafe
9,26.126,241.872,181.749,243.000,180.000,0,0,13,400,0.000,1.507,1.351,0.557,flower
10,43.998,406.347,541.899,412.000,545.000,1,0,13,400,0.448,1.340,1.381,0.992,candle
11,42.255,350.000,150.000,354.000,151.000,0,0,13,400,0.000,1.551
