P8M7,A,2014-09-15

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,0.490,350.000,150.000,348.000,153.000,0,0,57,400,0.000,0.000,0.724,0.405,paper
1,1.288,293.653,541.899,295.000,544.000,0,0,57,400,0.000,0.294,0.644,0.524,candle
2,0.995,458.128,181.749,452.000,159.000,0,0,57,400,0.000,0.384,0.639,0.771,ceiling
3,2.137,198.850,480.972,193.000,474.000,0,0,57,400,0.000,0.437,0.682,0.501,melon
4,1.843,531.926,266.917,509.000,276.000,0,0,57,400,0.000,0.424,0.667,0.317,lamp
5,1.459,152.036,378.463,164.000,383.000,0,0,57,400,0.000,0.456,0.514,0.393,cafe
6,3.023,547.964,378.463,535.000,376.000,0,0,57,400,0.000,0.188,0.700,0.291,male
7,2.729,168.074,266.917,174.000,256.000,0,0,57,400,0.000,0.361,0.470,0.542,apple
8,2.345,501.150,480.972,508.000,474.000,0,0,57,400,0.000,0.363,0.465,0.516,center
9,1.908,241.872,181.749,248.000,185.000,0,0,57,400,0.000,0.202,0.583,0.886,research
10,3.934,406.347,541.899,426.000,542.000,0,0,57,400,0.000,0.506,0.759,1.136,university
11,3.640,350.000,150.000,352.000,142.000,0,0,57,400,0.000,0.239
