Filename, TP, IP, Lin1, Lin2, ErrorRate, outlierRate, meanMovetime, meanIDe
/divya741,5.6609,6.0573,0.0587,0.1651,0.0000,0.0000,0.9174,5.2015 
/P31FA1,3.3471,5.2184,0.5729,0.1916,0.6800,0.0000,1.6672,5.7769 
/P34FA3,3.4369,4.6415,0.3166,0.2154,0.4533,0.0000,1.4858,5.0514 
/divya732,2.9594,1.8136,-1.0842,0.5514,0.1867,0.0400,1.8932,5.3709 
/P31T2,4.5896,2.7475,-0.6240,0.3640,0.1200,0.0267,1.0822,4.6877 
/P32FA2,3.1653,1.4930,-1.6679,0.6698,0.2133,0.0133,1.6761,4.9031 
/divya731,2.9343,1.3585,-1.8794,0.7361,0.2267,0.0533,1.9050,5.1523 
/borrar,5.6842,4.0774,-0.0753,0.2453,0.1067,0.0133,1.1640,5.1551 
/P34FA1,4.7288,-5.0245,1.9151,-0.1990,0.3467,0.0133,1.1934,4.7528 
/P32FA1,2.9285,9.0588,1.8832,0.1104,0.6000,0.0267,2.2653,6.0730 
/P33M3,5.6331,-6.6099,1.4551,-0.1513,0.1333,0.0133,0.8580,4.2449 
/11p23,3.2161,3.7625,0.6056,0.2658,0.1067,0.0133,2.2246,5.8741 
/P31FR1,3.2491,2.1257,-0.7305,0.4704,0.2000,0.0267,1.4417,4.6289 
/divya723,4.4115,1.2023,-2.8683,0.8317,0.1733,0.0267,1.4260,5.1001 
/P32M1,6.4889,3.3034,-0.7029,0.3027,0.0800,0.0133,0.8097,5.0108 
/P34FR3,3.2310,-4.6778,2.9724,-0.2138,0.4133,0.0267,2.9052,5.4885 
/P31FA2,3.6552,2.5295,-0.5447,0.3953,0.3200,0.0533,1.3556,4.8106 
/P31FA3,3.4097,6.4038,0.7502,0.1562,0.4933,0.0267,1.6153,5.4238 
/11p22,3.2969,0.7578,-4.2879,1.3197,0.0667,0.0133,1.5186,4.4111 
/P33FA3,3.0801,1.6984,-1.2035,0.5888,0.4533,0.0133,1.8078,5.2345 
/ZL1,2.9890,3.9168,0.3632,0.2553,0.3467,0.0133,1.5476,4.6384 
/sheldonTestr,1.8361,2.0120,0.2309,0.4970,0.2267,0.0267,2.6785,4.9292 
/P34T3,3.6164,4.5217,0.2963,0.2212,0.0133,0.0133,1.5191,5.5283 
/11p13,6.6149,4.1778,-0.4473,0.2394,0.0400,0.0000,0.8074,5.2429 
/P33FA11,3.3946,3.2672,-0.0718,0.3061,0.5200,0.0000,1.4305,4.7858 
/P32FR3,2.8453,1.2160,-2.2287,0.8223,0.1067,0.0267,2.0378,5.1816 
/11p41,3.2768,2.3830,-0.5635,0.4196,0.1200,0.0400,1.6304,5.2267 
/P33FR1,2.9879,2.1391,-0.6425,0.4675,0.1733,0.0133,1.7158,5.0161 
/divya722,5.6665,2.9767,-0.8079,0.3359,0.0667,0.0000,0.9596,5.2609 
/P32M3,6.1015,3.4439,-0.6151,0.2904,0.1067,0.0000,0.8683,5.1032 
/divya724,5.7477,3.2808,-0.6634,0.3048,0.1467,0.0133,0.9687,5.3544 
/divya11,3.0006,3.0028,0.0013,0.3330,0.0400,0.0000,1.7229,5.1699 
/P31M2,6.9056,8.0816,0.1007,0.1237,0.1333,0.0133,0.7299,5.0367 
/P33T1,3.6612,3.6692,0.0029,0.2725,0.0400,0.0267,1.4022,5.1343 
/P33T3,4.1565,4.7369,0.1525,0.2111,0.0800,0.0000,1.2932,5.3908 
/julianBorrar,4.5283,4.1322,-0.0811,0.2420,0.0533,0.0133,0.9671,4.3321 
/Divya742,5.9528,3.2454,-0.7276,0.3081,0.0533,0.0000,0.9277,5.3636 
/P32FR2,3.0832,1.2366,-2.3143,0.8087,0.1200,0.0000,1.8472,5.1226 
Julian-data/fingers/JulianX300Y200jl,4.3458,2.8356,-0.4881,0.3527,0.1200,0.0267,1.0746,4.4307 
Julian-data/fingers/JulianX250Y150jl,4.0335,3.3747,-0.1855,0.2963,0.1333,0.0000,1.0989,4.3415 
Julian-data/fingers/JulianX300Y300jl,3.8051,2.4492,-0.5861,0.4083,0.0800,0.0133,1.2195,4.4243 
Julian-data/fingers/JulianX250Y250jl,4.3020,2.9177,-0.4524,0.3427,0.1600,0.0533,1.1180,4.5820 
Julian-data/fingers/JulianX250Y200jl,4.7953,2.9097,-0.5572,0.3437,0.0800,0.0267,1.0171,4.5731 
Julian-data/fingers/julianX300Y150jl,4.0380,3.4140,-0.1858,0.2929,0.2000,0.0400,1.1767,4.6522 
Julian-data/Mouse,6.1996,5.1844,-0.1330,0.1929,0.0000,0.0000,0.7419,4.5359 
Julian-data/Trackpad,4.5240,4.7944,0.0546,0.2086,0.0133,0.0000,1.0060,4.5624 
/P34T1,3.2592,3.5920,0.1500,0.2784,0.0667,0.0133,1.6183,5.2457 
/P33FR11,2.7244,1.1674,-2.4533,0.8566,0.2267,0.0133,2.2383,5.3273 
/sheldonTest,2.5330,0.9865,-3.2907,1.0137,0.2800,0.0400,2.2274,5.4450 
/divya71,2.4230,-14.9621,2.1083,-0.0668,0.0933,0.0133,1.8243,4.3496 
/buuerase,5.8356,1.2827,-2.0905,0.7796,0.1067,0.0133,1.2701,4.2677 
/P32T2,4.0419,2.2051,-1.0419,0.4535,0.0933,0.0133,1.3736,5.3284 
/P32FR11,2.4408,1.7021,-0.9206,0.5875,0.1467,0.0267,2.2389,5.3278 
/P33FA31,3.4235,3.3032,-0.0846,0.3027,0.4667,0.0133,1.4196,4.7717 
/P31T1,3.5842,4.7123,0.3310,0.2122,0.2000,0.0267,1.3800,4.9771 
/divyaTest,1.8053,1.0110,-2.0950,0.9891,0.1333,0.0533,2.9007,5.0561 
/P33FR31,3.3101,1.5028,-1.7340,0.6654,0.2667,0.0533,1.7191,5.1792 
/11p34,4.0254,2.8771,-0.5152,0.3476,0.0400,0.0133,1.3617,5.3969 
/P33FA2,2.8599,1.9190,-0.8430,0.5211,0.5067,0.0267,1.9324,5.3188 
/P32FA3,2.5503,1.4328,-1.3028,0.6979,0.4400,0.0000,1.8402,4.4896 
/divya743,3.3601,5.7262,0.6897,0.1746,0.2400,0.0000,1.6649,5.6024 
/11p12,4.8200,28.0199,0.9323,0.0357,0.0400,0.0000,1.1259,5.3228 
/P34FA2,5.0592,6.8696,0.2566,0.1456,0.2800,0.0133,1.1151,5.1138 
/11p31,3.6014,3.3144,-0.0841,0.3017,0.1867,0.0133,1.4454,5.1547 
/P34M1,5.2263,6.3661,0.2186,0.1571,0.0667,0.0133,0.9980,5.0481 
/P34FR2,3.9864,9.3119,0.6522,0.1074,0.3067,0.0133,1.3761,4.8937 
/P31FR2,3.1610,1.9493,-0.8718,0.5130,0.2533,0.0267,1.4285,4.4694 
/P101FR1,2.8393,2.0879,-0.6442,0.4790,0.1867,0.0533,2.0560,5.6584 
/P32M2,5.4901,4.1056,-0.1187,0.2436,0.0800,0.0133,1.0638,4.9372 
