P1F5,A,2014-09-04

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,1.035,350.000,150.000,349.000,152.000,0,0,57,400,0.000,1.228,1.240,0.223,her
1,2.056,293.653,541.899,279.000,539.000,0,0,57,400,0.000,1.623,1.830,0.152,her
2,2.841,458.128,181.749,456.000,182.000,0,0,57,400,0.000,0.701,1.051,2.417,carnegie
3,3.439,198.850,480.972,194.000,493.000,0,0,57,400,0.000,0.767,2.211,0.642,kettle
4,5.152,531.926,266.917,502.000,273.000,1,0,57,400,2.538,1.557,1.130,1.836,pittsburgh
5,7.151,152.036,378.463,145.000,384.000,0,0,57,400,0.000,0.799,1.006,0.456,paper
6,7.896,547.964,378.463,541.000,374.000,0,0,57,400,0.000,2.095,1.545,1.132,keyboard
7,8.667,168.074,266.917,153.000,241.000,1,0,57,400,1.982,0.728,1.524,0.915,computer
8,9.318,501.150,480.972,502.000,499.000,0,0,57,400,0.000,0.640,1.148,1.040,sheets
9,10.743,241.872,181.749,246.000,180.000,0,0,57,400,0.000,0.945,1.109,0.392,male
10,11.460,406.347,541.899,397.000,521.000,0,0,57,400,0.000,1.616,1.092,2.337,sheets
11,12.248,350.000,150.000,353.000,159.000,0,0,57,400,0.000,0.650
