P11T8,B,2014-09-10

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,0.759,350.000,150.000,348.000,152.000,0,0,27,400,0.000,0.434,0.830,0.762,google
1,2.452,293.653,541.899,295.000,548.000,0,0,27,400,0.000,0.316,0.779,1.428,university
2,2.136,458.128,181.749,458.000,188.000,0,0,27,400,0.000,0.402,0.584,0.816,sheets
3,4.126,198.850,480.972,195.000,467.000,1,0,27,400,1.493,0.273,0.717,0.239,her
4,3.810,531.926,266.917,537.000,260.000,0,0,27,400,0.000,0.354,0.683,0.605,woods
5,3.409,152.036,378.463,142.000,379.000,0,0,27,400,0.000,0.207,0.944,0.409,door
6,6.569,547.964,378.463,552.000,380.000,0,0,27,400,0.000,0.040,0.686,1.089,speakers
7,6.254,168.074,266.917,171.000,272.000,0,0,27,400,0.000,0.258,0.842,1.383,university
8,5.852,501.150,480.972,502.000,477.000,0,0,27,400,0.000,0.441,0.985,0.856,flower
9,5.579,241.872,181.749,242.000,185.000,0,0,27,400,0.000,0.274,0.722,1.164,scanner
10,8.619,406.347,541.899,396.000,534.000,1,0,27,400,0.017,0.266,0.919,0.466,gates
11,8.303,350.000,150.000,348.000,153.000,0,0,27,400,0.000,0.223
