P12M3,A,2014-09-17

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,0.465,350.000,150.000,344.000,147.000,0,0,57,400,0.000,0.730,0.731,1.970,door
1,1.756,293.653,541.899,301.000,532.000,0,1,57,400,0.000,0.642,1.004,1.832,flower
2,1.114,458.128,181.749,451.000,179.000,0,0,57,400,0.000,0.419,1.032,0.819,door
3,2.744,198.850,480.972,207.000,469.000,0,0,57,400,0.000,0.700,0.632,1.121,research
4,2.102,531.926,266.917,517.000,253.000,0,0,57,400,0.000,0.502,0.747,0.411,tree
5,1.683,152.036,378.463,158.000,380.000,0,0,57,400,0.000,0.450,0.763,0.276,male
6,4.005,547.964,378.463,545.000,368.000,0,0,57,400,0.000,0.455,0.702,0.821,fingers
7,3.363,168.074,266.917,168.000,260.000,0,0,57,400,0.000,0.291,0.682,0.643,napkin
8,2.944,501.150,480.972,489.000,485.000,0,0,57,400,0.000,0.554,0.657,1.445,speakers
9,2.244,241.872,181.749,253.000,194.000,0,0,57,400,0.000,0.401,0.617,1.517,toothpaste
10,5.084,406.347,541.899,410.000,544.000,0,0,57,400,0.000,0.585,0.645,0.442,paper
11,4.441,350.000,150.000,353.000,163.000,0,0,57,400,0.000,0.368
