P15T6,B,2014-09-10

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,1.245,350.000,150.000,350.000,155.000,0,0,27,400,0.000,0.000,0.723,0.516,mouse
1,2.917,293.653,541.899,301.000,540.000,0,0,27,400,0.000,0.318,0.717,0.233,her
2,2.598,458.128,181.749,457.000,191.000,0,0,27,400,0.000,0.825,0.693,0.662,garbage
3,5.204,198.850,480.972,203.000,480.000,0,0,27,400,0.000,0.415,0.664,1.667,candle
4,4.885,531.926,266.917,533.000,266.000,0,0,27,400,0.000,0.458,0.740,0.515,mouse
5,4.060,152.036,378.463,160.000,380.000,0,0,27,400,0.000,0.335,0.850,1.204,computer
6,7.321,547.964,378.463,549.000,380.000,0,0,27,400,0.000,0.446,0.823,1.591,microphone
7,7.003,168.074,266.917,172.000,270.000,0,0,27,400,0.000,0.572,0.919,1.161,research
8,6.178,501.150,480.972,499.000,481.000,0,0,27,400,0.000,0.652,0.589,0.494,mouse
9,5.764,241.872,181.749,240.000,189.000,0,0,27,400,0.000,0.257,0.712,2.168,female
10,9.435,406.347,541.899,403.000,544.000,0,0,27,400,0.000,0.505,0.784,0.634,woods
11,9.116,350.000,150.000,350.000,149.000,0,0,27,400,0.000,0.378
