P16F6,B,2014-09-14

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,0.790,350.000,150.000,346.000,146.000,0,0,27,400,0.000,2.250,1.151,0.705,printer
1,3.600,293.653,541.899,295.000,544.000,0,0,27,400,0.000,1.159,1.013,1.713,cafe
2,2.441,458.128,181.749,454.000,176.000,0,0,27,400,0.000,0.902,0.955,0.444,tree
3,6.987,198.850,480.972,206.000,481.000,0,0,27,400,0.000,1.817,1.050,1.788,cafe
4,5.828,531.926,266.917,532.000,272.000,0,0,27,400,0.000,0.933,1.061,1.872,lamp
5,4.926,152.036,378.463,146.000,381.000,0,0,27,400,0.000,1.314,2.227,1.297,government
6,11.136,547.964,378.463,548.000,376.000,0,0,27,400,0.000,1.033,1.959,0.268,you
7,9.977,168.074,266.917,162.000,266.000,0,0,27,400,0.000,1.033,1.344,0.724,towel
8,9.076,501.150,480.972,500.000,487.000,0,1,27,400,0.000,1.025,4.930,0.737,tree
9,7.259,241.872,181.749,239.000,177.000,0,0,27,400,0.000,1.136,0.945,0.579,center
10,13.863,406.347,541.899,406.000,550.000,0,0,27,400,0.000,0.835,1.471,0.330,him
11,12.704,350.000,150.000,349.000,148.000,0,0,27,400,0.000,1.244
