P23M1,A,2014-09-17

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,0.667,350.000,150.000,355.000,156.000,0,0,57,400,0.000,0.000,0.575,0.417,towel
1,2.266,293.653,541.899,295.000,547.000,0,0,57,400,0.000,0.502,0.614,0.435,woods
2,1.764,458.128,181.749,445.000,176.000,0,0,57,400,0.000,0.367,0.646,0.862,backpack
3,3.193,198.850,480.972,198.000,486.000,0,0,57,400,0.000,0.563,0.597,0.390,chair
4,2.691,531.926,266.917,529.000,278.000,0,0,57,400,0.000,0.429,0.545,0.718,sheets
5,2.325,152.036,378.463,154.000,384.000,0,0,57,400,0.000,0.304,0.703,1.025,backpack
6,4.773,547.964,378.463,534.000,361.000,0,0,57,400,0.000,0.430,0.602,0.905,computer
7,4.271,168.074,266.917,167.000,251.000,0,0,57,400,0.000,0.323,0.661,0.625,avenue
8,3.905,501.150,480.972,498.000,484.000,0,0,57,400,0.000,0.385,0.728,0.210,you
9,3.342,241.872,181.749,244.000,197.000,0,0,57,400,0.000,0.589,0.618,0.393,gates
10,5.891,406.347,541.899,419.000,545.000,0,0,57,400,0.000,0.212,0.808,0.778,backpack
11,5.389,350.000,150.000,348.000,144.000,0,0,57,400,0.000,0.476
