P23M4,B,2014-09-17

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,0.233,350.000,150.000,350.000,149.000,0,0,27,400,0.000,0.838,0.690,0.741,ceiling
1,1.433,293.653,541.899,303.000,540.000,0,0,27,400,0.000,0.376,0.800,0.650,woods
2,1.058,458.128,181.749,461.000,182.000,0,0,27,400,0.000,0.365,0.807,1.121,backpack
3,2.631,198.850,480.972,202.000,484.000,0,0,27,400,0.000,0.440,0.737,1.656,napkin
4,2.256,531.926,266.917,532.000,266.000,0,0,27,400,0.000,0.454,0.707,1.324,microphone
5,1.891,152.036,378.463,154.000,380.000,0,0,27,400,0.000,0.472,0.783,0.522,door
6,3.936,547.964,378.463,547.000,377.000,0,0,27,400,0.000,0.318,0.731,0.676,towel
7,3.561,168.074,266.917,161.000,266.000,0,0,27,400,0.000,0.512,0.771,0.444,gates
8,3.196,501.150,480.972,509.000,481.000,0,0,27,400,0.000,0.216,0.691,0.726,scanner
9,2.756,241.872,181.749,243.000,182.000,0,0,27,400,0.000,0.326,0.597,0.489,chair
10,5.063,406.347,541.899,405.000,537.000,0,0,27,400,0.000,0.441,0.644,0.375,cafe
11,4.687,350.000,150.000,349.000,151.000,0,0,27,400,0.000,0.292
