P23m3,C,2014-09-17

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,0.281,350.000,150.000,351.000,149.000,0,0,13,400,0.000,0.833,0.887,0.556,female
1,2.053,293.653,541.899,295.000,543.000,0,0,13,400,0.000,0.356,0.756,0.551,flower
2,1.697,458.128,181.749,462.000,183.000,0,0,13,400,0.000,0.260,0.598,0.473,candle
3,3.298,198.850,480.972,201.000,481.000,0,0,13,400,0.000,0.360,0.631,0.505,candle
4,2.943,531.926,266.917,531.000,270.000,0,0,13,400,0.000,0.367,0.711,1.770,suitcase
5,2.682,152.036,378.463,152.000,378.000,0,0,13,400,0.000,0.294,0.724,1.296,restaurant
6,5.219,547.964,378.463,548.000,381.000,0,0,13,400,0.000,0.347,0.775,0.331,cafe
7,4.864,168.074,266.917,172.000,267.000,0,0,13,400,0.000,0.341,0.745,0.570,fingers
8,4.603,501.150,480.972,500.000,479.000,0,0,13,400,0.000,0.188,0.606,1.263,restaurant
9,4.243,241.872,181.749,240.000,184.000,0,0,13,400,0.000,0.418,0.633,0.368,cafe
10,6.307,406.347,541.899,405.000,543.000,0,0,13,400,0.000,0.207,0.686,0.527,woods
11,5.951,350.000,150.000,349.000,150.000,0,0,13,400,0.000,0.330
