P2M2,B,2014-09-17

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,0.600,350.000,150.000,357.000,160.000,0,0,27,400,0.000,0.379,0.678,0.548,apple
1,1.798,293.653,541.899,295.000,552.000,0,0,27,400,0.000,0.356,0.888,0.699,kettle
2,1.441,458.128,181.749,465.000,172.000,0,0,27,400,0.000,0.436,1.036,0.151,her
3,2.874,198.850,480.972,198.000,484.000,0,0,27,400,0.000,0.364,0.981,0.559,female
4,2.518,531.926,266.917,524.000,266.000,0,0,27,400,0.000,0.339,0.829,1.584,kettle
5,2.082,152.036,378.463,145.000,382.000,0,0,27,400,0.000,0.435,0.789,0.878,street
6,3.871,547.964,378.463,544.000,369.000,0,0,27,400,0.000,0.340,0.689,0.701,avenue
7,3.514,168.074,266.917,176.000,275.000,0,0,27,400,0.000,0.529,0.916,0.441,tree
8,3.078,501.150,480.972,505.000,481.000,0,0,27,400,0.000,0.658,0.813,5.411,restaurant
9,2.715,241.872,181.749,241.000,188.000,0,0,27,400,0.000,0.471,0.725,0.866,street
10,4.907,406.347,541.899,421.000,559.000,1,0,27,400,9.521,0.321,1.120,1.573,pittsburgh
11,4.550,350.000,150.000,350.000,148.000,0,0,27,400,0.000,0.562
