P2M6,A,2014-09-17

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,1.617,350.000,150.000,343.000,150.000,0,0,57,400,0.000,0.004,0.718,0.787,avenue
1,2.671,293.653,541.899,299.000,542.000,0,0,57,400,0.000,0.398,0.730,0.453,gates
2,2.273,458.128,181.749,447.000,198.000,0,0,57,400,0.000,0.328,0.776,1.607,pittsburgh
3,3.617,198.850,480.972,201.000,478.000,0,0,57,400,0.000,0.504,0.559,0.604,apple
4,3.219,531.926,266.917,525.000,255.000,0,0,57,400,0.000,0.324,0.647,0.716,scanner
5,2.890,152.036,378.463,150.000,369.000,0,0,57,400,0.000,0.428,0.870,0.881,female
6,4.538,547.964,378.463,535.000,382.000,0,0,57,400,0.000,0.384,0.886,0.152,her
7,4.140,168.074,266.917,161.000,271.000,0,0,57,400,0.000,0.344,0.753,1.191,toothpaste
8,3.812,501.150,480.972,500.000,491.000,0,0,57,400,0.000,0.343,0.616,0.417,tree
9,3.308,241.872,181.749,242.000,182.000,0,0,57,400,0.000,0.806,0.782,0.538,bring
10,5.182,406.347,541.899,423.000,536.000,0,0,57,400,0.000,0.462,0.672,0.328,cafe
11,4.785,350.000,150.000,366.000,147.000,0,0,57,400,0.000,0.343
