P2M7,C,2014-09-17

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,0.560,350.000,150.000,353.000,146.000,0,0,13,400,0.000,0.397,0.776,0.312,lamp
1,1.720,293.653,541.899,297.000,542.000,0,0,13,400,0.000,0.031,0.851,0.672,napkin
2,1.689,458.128,181.749,454.000,181.000,0,0,13,400,0.000,0.114,0.747,0.144,her
3,2.789,198.850,480.972,200.000,481.000,0,0,13,400,0.000,0.081,0.710,0.499,gates
4,2.758,531.926,266.917,526.000,268.000,1,0,13,400,0.025,0.271,0.760,1.338,yahoo
5,2.644,152.036,378.463,151.000,382.000,0,0,13,400,0.000,0.110,0.736,2.995,apple
6,3.969,547.964,378.463,551.000,377.000,0,0,13,400,0.000,0.373,0.811,1.360,microphone
7,3.939,168.074,266.917,164.000,270.000,0,0,13,400,0.000,0.412,0.797,0.757,fingers
8,3.824,501.150,480.972,502.000,481.000,0,0,13,400,0.000,0.326,0.795,1.254,printer
9,3.744,241.872,181.749,240.000,181.000,0,0,13,400,0.000,0.453,1.080,1.124,government
10,5.248,406.347,541.899,403.000,545.000,0,0,13,400,0.000,0.371,0.776,0.147,her
11,5.217,350.000,150.000,355.000,151.000,0,0,13,400,0.000,0.371
