P3T4,C,2014-09-07

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,0.721,350.000,50.000,351.000,49.000,0,0,13,600,0.000,0.473,0.679,0.564,garbage
1,2.453,265.480,637.848,265.000,638.000,0,0,13,600,0.000,0.244,0.599,1.559,pittsburgh
2,2.210,512.192,97.624,511.000,94.000,0,0,13,600,0.000,0.327,0.807,0.204,lamp
3,4.411,123.275,546.458,120.000,552.000,1,0,13,600,0.437,0.356,0.645,0.703,college
4,4.168,622.890,225.375,626.000,225.000,0,0,13,600,0.000,0.282,0.716,0.940,suitcase
5,3.841,53.054,392.694,48.000,392.000,0,0,13,600,0.000,0.153,0.933,0.173,him
6,7.421,646.946,392.694,650.000,395.000,0,0,13,600,0.000,0.296,0.695,1.051,yahoo
7,7.178,77.110,225.375,76.000,226.000,0,0,13,600,0.000,0.338,0.594,1.475,sheets
8,6.851,576.725,546.458,579.000,544.000,0,0,13,600,0.000,0.188,0.702,2.512,cafe
9,6.495,187.808,97.624,185.000,97.000,0,0,13,600,0.000,0.381,0.758,3.140,napkin
10,9.605,434.520,637.848,439.000,638.000,0,0,13,600,0.000,0.501,0.684,0.446,friend
11,9.361,350.000,50.000,349.000,52.000,0,0,13,600,0.000,0.332
