P30T5,C,2014-09-08

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,1.323,350.000,50.000,354.000,52.000,0,0,13,600,0.000,0.768,0.936,0.891,napkin
1,3.654,265.480,637.848,265.000,639.000,0,0,13,600,0.000,0.443,0.841,1.140,garbage
2,3.211,512.192,97.624,513.000,99.000,0,0,13,600,0.000,0.450,1.005,2.518,suitcase
3,5.470,123.275,546.458,127.000,542.000,0,0,13,600,0.000,0.420,0.872,6.108,research
4,5.027,622.890,225.375,621.000,228.000,0,0,13,600,0.000,0.542,0.946,1.542,backpack
5,4.577,53.054,392.694,59.000,393.000,0,0,13,600,0.000,0.558,0.829,1.307,university
6,7.962,646.946,392.694,646.000,391.000,0,0,13,600,0.000,0.363,1.010,4.333,melon
7,7.519,77.110,225.375,76.000,225.000,0,0,13,600,0.000,0.537,0.716,1.288,university
8,7.069,576.725,546.458,576.000,549.000,0,0,13,600,0.000,0.424,0.856,1.210,computer
9,6.650,187.808,97.624,190.000,99.000,0,0,13,600,0.000,0.418,0.788,1.513,keyboard
10,10.221,434.520,637.848,438.000,637.000,0,0,13,600,0.000,0.399,0.798,0.887,scanner
11,9.778,350.000,50.000,354.000,45.000,1,0,13,600,0.403,0.362
