P30F7,C,2014-09-12

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,1.774,350.000,150.000,349.000,149.000,0,0,13,400,0.000,1.557,1.309,0.516,door
1,4.751,293.653,541.899,296.000,543.000,0,0,13,400,0.000,1.104,1.293,0.499,door
2,3.647,458.128,181.749,456.000,187.000,0,0,13,400,0.000,1.679,1.914,0.578,paper
3,8.758,198.850,480.972,202.000,480.000,0,0,13,400,0.000,0.841,1.580,2.502,printer
4,7.654,531.926,266.917,536.000,266.000,0,0,13,400,0.000,1.044,1.226,1.818,center
5,5.975,152.036,378.463,152.000,378.000,0,0,13,400,0.000,0.950,1.247,2.689,toothpaste
6,11.946,547.964,378.463,551.000,383.000,0,0,13,400,0.000,1.007,1.495,2.606,toothpaste
7,10.842,168.074,266.917,170.000,265.000,0,0,13,400,0.000,1.231,1.548,1.404,melon
8,9.163,501.150,480.972,503.000,483.000,0,0,13,400,0.000,1.071,1.909,2.780,door
9,8.322,241.872,181.749,242.000,183.000,0,0,13,400,0.000,0.928,1.493,1.879,napkin
10,14.363,406.347,541.899,404.000,540.000,0,0,13,400,0.000,1.068,1.545,6.666,restaurant
11,13.260,350.000,150.000,349.000,149.000,0,0,13,400,0.000,1.188
