P31M6,B,2014-09-16

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,0.384,350.000,150.000,351.000,146.000,0,0,27,400,0.000,0.684,0.914,0.592,melon
1,1.630,293.653,541.899,297.000,537.000,0,0,27,400,0.000,0.453,0.798,1.650,toothpaste
2,1.177,458.128,181.749,455.000,178.000,0,0,27,400,0.000,0.431,1.231,1.332,suitcase
3,2.790,198.850,480.972,202.000,477.000,0,0,27,400,0.000,0.380,0.741,1.368,suitcase
4,2.337,531.926,266.917,537.000,267.000,0,0,27,400,0.000,0.233,0.725,0.661,woods
5,1.906,152.036,378.463,157.000,378.000,0,0,27,400,0.000,0.334,0.925,0.542,gates
6,4.123,547.964,378.463,547.000,374.000,0,0,27,400,0.000,0.357,0.855,1.698,microphone
7,3.670,168.074,266.917,172.000,266.000,0,0,27,400,0.000,0.494,0.898,1.019,ceiling
8,3.239,501.150,480.972,503.000,479.000,0,0,27,400,0.000,0.370,0.870,0.789,friend
9,2.859,241.872,181.749,238.000,184.000,0,0,27,400,0.000,0.420,0.778,0.903,center
10,5.149,406.347,541.899,404.000,542.000,0,0,27,400,0.000,0.398,0.984,2.761,tissue
11,4.696,350.000,150.000,356.000,152.000,0,0,27,400,0.000,0.550
