P31M8,A,2014-09-16

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,0.392,350.000,150.000,346.000,159.000,0,0,57,400,0.000,0.680,0.782,0.647,melon
1,1.306,293.653,541.899,284.000,550.000,0,0,57,400,0.000,0.481,0.741,0.594,paper
2,0.825,458.128,181.749,451.000,191.000,0,0,57,400,0.000,0.320,0.964,0.765,sheets
3,2.291,198.850,480.972,207.000,484.000,0,0,57,400,0.000,0.455,0.902,1.692,keyboard
4,1.810,531.926,266.917,536.000,255.000,0,0,57,400,0.000,0.590,0.964,1.309,him
5,1.490,152.036,378.463,158.000,368.000,0,0,57,400,0.000,0.462,0.883,0.924,ceiling
6,3.163,547.964,378.463,539.000,356.000,0,0,57,400,0.000,0.384,0.829,3.277,pittsburgh
7,2.681,168.074,266.917,185.000,274.000,0,0,57,400,0.000,0.532,0.978,0.438,bring
8,2.362,501.150,480.972,508.000,476.000,0,0,57,400,0.000,0.495,0.775,1.325,suitcase
9,1.907,241.872,181.749,246.000,171.000,0,0,57,400,0.000,0.243,0.878,1.765,google
10,4.249,406.347,541.899,414.000,558.000,0,0,57,400,0.000,0.228,1.305,6.380,university
11,3.768,350.000,150.000,348.000,147.000,0,0,57,400,0.000,0.643
