P32M7,C,2014-09-16

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,0.912,350.000,150.000,350.000,150.000,0,0,13,400,0.000,0.816,0.871,0.632,woods
1,2.353,293.653,541.899,295.000,547.000,0,0,13,400,0.000,0.504,0.945,0.222,her
2,1.849,458.128,181.749,452.000,184.000,1,0,13,400,0.528,0.591,0.963,7.031,yahoo
3,4.338,198.850,480.972,199.000,482.000,0,0,13,400,0.000,0.701,0.700,0.498,cafe
4,3.834,531.926,266.917,531.000,269.000,0,0,13,400,0.000,0.113,0.611,0.497,cafe
5,3.242,152.036,378.463,154.000,377.000,0,0,13,400,0.000,0.603,0.866,0.506,door
6,7.056,547.964,378.463,550.000,372.000,1,0,13,400,0.776,0.659,1.033,0.560,tree
7,6.552,168.074,266.917,173.000,271.000,1,0,13,400,0.398,0.526,0.898,0.703,bring
8,5.960,501.150,480.972,506.000,483.000,0,0,13,400,0.000,0.718,0.930,0.388,lamp
9,5.259,241.872,181.749,239.000,180.000,0,0,13,400,0.000,0.729,0.882,1.015,melon
10,9.002,406.347,541.899,408.000,542.000,0,0,13,400,0.000,0.782,0.945,0.592,woods
11,8.498,350.000,150.000,353.000,146.000,0,0,13,400,0.000,0.670
