P8M5,C,2014-09-15

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,0.728,350.000,150.000,352.000,153.000,0,0,13,400,0.000,0.387,0.548,2.491,flower
1,1.745,293.653,541.899,295.000,542.000,0,0,13,400,0.000,0.272,0.587,1.010,garbage
2,1.473,458.128,181.749,458.000,182.000,0,0,13,400,0.000,0.042,0.473,0.610,apple
3,2.652,198.850,480.972,199.000,480.000,0,0,13,400,0.000,0.372,0.690,0.715,napkin
4,2.380,531.926,266.917,532.000,266.000,0,0,13,400,0.000,0.354,0.645,0.931,keyboard
5,2.338,152.036,378.463,154.000,382.000,0,0,13,400,0.000,0.224,0.697,0.324,him
6,3.913,547.964,378.463,546.000,382.000,0,0,13,400,0.000,0.410,0.544,0.483,candle
7,3.641,168.074,266.917,168.000,271.000,0,0,13,400,0.000,0.347,0.568,0.390,cafe
8,3.599,501.150,480.972,503.000,486.000,0,0,13,400,0.000,0.065,0.800,1.058,restaurant
9,3.227,241.872,181.749,245.000,185.000,0,0,13,400,0.000,0.366,0.747,0.450,mouse
10,4.956,406.347,541.899,407.000,542.000,0,0,13,400,0.000,0.306,0.520,0.772,carnegie
11,4.685,350.000,150.000,350.000,150.000,0,0,13,400,0.000,0.355
