P9T6,A,2014-09-10

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,1.064,350.000,150.000,353.000,149.000,0,0,57,400,0.000,0.000,1.117,1.524,government
1,2.666,293.653,541.899,291.000,541.000,0,0,57,400,0.000,0.507,0.693,10.032,toothpaste
2,2.159,458.128,181.749,458.000,200.000,0,0,57,400,0.000,0.611,0.881,0.257,him
3,4.372,198.850,480.972,198.000,475.000,0,0,57,400,0.000,0.715,0.784,0.968,garbage
4,3.865,531.926,266.917,522.000,274.000,0,0,57,400,0.000,0.445,0.801,0.997,tissue
5,3.254,152.036,378.463,164.000,371.000,0,0,57,400,0.000,0.463,0.797,0.693,tissue
6,6.230,547.964,378.463,532.000,377.000,0,0,57,400,0.000,0.549,0.750,0.885,napkin
7,5.723,168.074,266.917,161.000,266.000,0,0,57,400,0.000,0.502,0.545,0.805,sheets
8,5.112,501.150,480.972,500.000,471.000,0,0,57,400,0.000,0.488,0.790,0.849,kettle
9,4.397,241.872,181.749,251.000,202.000,0,0,57,400,0.000,0.446,0.779,1.220,female
10,7.545,406.347,541.899,405.000,525.000,0,0,57,400,0.000,0.438,0.585,0.705,apple
11,7.037,350.000,150.000,354.000,156.000,0,0,57,400,0.000,0.439
