Filename, TP, IP, Lin1, Lin2, ErrorRate
StevenFatigue1,8.6536,6.0958,-0.1058,0.1640,0.0667
StevenFatigue10,6.3270,10.4145,0.3293,0.0960,0.2000
StevenFatigue2,7.2554,5.4593,-0.0706,0.1832,0.1200
StevenFatigue3,7.2307,9.3456,0.2095,0.1070,0.1067
StevenFatigue4,6.8617,5.6501,-0.0244,0.1770,0.1067
StevenFatigue5,6.3965,7.7529,0.2230,0.1290,0.0933
StevenFatigue6,7.0332,4.6285,-0.1668,0.2161,0.1200
StevenFatigue7,7.4237,5.8420,-0.0457,0.1712,0.0800
StevenFatigue81,7.1603,6.6052,0.0560,0.1514,0.1733
StevenFatigue9,7.6275,9.1276,0.1621,0.1096,0.2267
