P12T2,B,2014-09-05

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,0.689,350.000,150.000,347.000,150.000,0,0,27,400,0.000,0.274,0.753,1.237,keyboard
1,2.321,293.653,541.899,289.000,542.000,0,0,27,400,0.000,0.392,0.677,0.930,street
2,3.796,458.128,181.749,457.000,181.000,0,0,27,400,0.000,0.456,0.719,0.520,table
3,5.485,198.850,480.972,207.000,476.000,0,0,27,400,0.000,0.377,0.652,0.983,carnegie
4,6.941,531.926,266.917,538.000,264.000,0,0,27,400,0.000,0.499,0.956,0.789,flower
5,8.052,152.036,378.463,155.000,384.000,0,0,27,400,0.000,0.446,0.862,1.321,microphone
6,9.104,547.964,378.463,548.000,369.000,0,0,27,400,0.000,0.446,0.754,1.527,speakers
7,11.046,168.074,266.917,178.000,266.000,0,0,27,400,0.000,0.273,0.742,1.472,carnegie
8,13.225,501.150,480.972,502.000,474.000,0,0,27,400,0.000,0.419,0.709,0.220,her
9,14.688,241.872,181.749,238.000,182.000,0,0,27,400,0.000,0.332,0.645,0.621,apple
10,17.464,406.347,541.899,415.000,530.000,1,0,27,400,1.713,0.312,0.642,0.795,avenue
11,19.185,350.000,150.000,347.000,153.000,0,0,27,400,0.000,0.404
