P12T2,C,2014-09-05

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,0.712,350.000,150.000,349.000,145.000,0,0,13,400,0.000,0.662,0.635,0.991,computer
1,4.735,293.653,541.899,294.000,535.000,1,0,13,400,0.907,0.325,0.839,0.254,him
2,6.314,458.128,181.749,456.000,182.000,0,0,13,400,0.000,0.406,0.744,1.020,suitcase
3,8.033,198.850,480.972,200.000,476.000,0,0,13,400,0.000,0.397,0.643,0.500,paper
4,9.389,531.926,266.917,527.000,264.000,0,0,13,400,0.000,0.269,0.858,1.593,restaurant
5,13.051,152.036,378.463,148.000,373.000,1,0,13,400,0.792,0.414,0.670,0.509,mouse
6,15.038,547.964,378.463,545.000,378.000,0,0,13,400,0.000,0.320,0.768,0.573,candle
7,17.764,168.074,266.917,170.000,259.000,1,0,13,400,2.148,0.360,0.818,1.349,government
8,19.773,501.150,480.972,501.000,477.000,0,0,13,400,0.000,0.416,0.889,1.474,backpack
9,21.882,241.872,181.749,244.000,194.000,1,0,13,400,6.434,0.454,0.702,1.196,pittsburgh
10,24.814,406.347,541.899,410.000,536.000,1,0,13,400,0.938,0.442,0.716,0.372,male
11,27.025,350.000,150.000,352.000,150.000,0,0,13,400,0.000,0.375
