P12Test,B,2014-09-11

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,2.529,350.000,150.000,340.000,152.000,0,0,27,400,0.000,5.216,5.956,1.532,college
1,11.391,293.653,541.899,287.000,551.000,0,0,27,400,0.000,4.024,3.075,4.180,scanner
2,7.367,458.128,181.749,460.000,196.000,1,0,27,400,1.373,2.816,2.926,0.594,apple
3,46.031,198.850,480.972,204.000,490.000,0,0,27,400,0.000,2.938,2.955,2.631,garbage
4,42.007,531.926,266.917,532.000,265.000,0,0,27,400,0.000,3.586,2.346,1.555,candle
5,39.192,152.036,378.463,155.000,377.000,0,0,27,400,0.000,2.638,5.078,1.132,speakers
6,53.988,547.964,378.463,560.000,377.000,0,0,27,400,0.000,3.427,4.493,2.264,you
7,49.964,168.074,266.917,175.000,262.000,0,0,27,400,0.000,2.314,2.865,0.548,melon
8,47.149,501.150,480.972,505.000,479.000,0,0,27,400,0.000,2.369,2.090,0.576,google
9,44.210,241.872,181.749,244.000,191.000,0,0,27,400,0.000,2.584,1.976,3.329,microphone
10,60.564,406.347,541.899,396.000,562.000,1,0,27,400,9.608,3.698,4.108,1.342,candle
11,56.540,350.000,150.000,319.000,162.000,1,0,27,400,20.242,3.413
