P14T1,C,2014-09-05

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,1.044,350.000,150.000,349.000,151.000,0,0,13,400,0.000,1.404,0.756,0.579,gates
1,2.857,293.653,541.899,294.000,539.000,0,0,13,400,0.000,0.474,0.855,0.394,yahoo
2,4.607,458.128,181.749,460.000,183.000,0,0,13,400,0.000,0.412,0.650,1.914,garbage
3,6.296,198.850,480.972,197.000,481.000,0,0,13,400,0.000,0.450,0.952,0.265,lamp
4,7.963,531.926,266.917,535.000,267.000,0,0,13,400,0.000,0.490,0.647,0.502,google
5,10.809,152.036,378.463,157.000,375.000,1,0,13,400,0.053,0.435,0.795,1.487,research
6,12.499,547.964,378.463,547.000,379.000,0,0,13,400,0.000,0.402,0.723,0.622,kettle
7,14.144,168.074,266.917,168.000,268.000,0,0,13,400,0.000,0.469,0.609,0.794,sheets
8,15.938,501.150,480.972,503.000,481.000,0,0,13,400,0.000,0.472,0.641,1.093,computer
9,17.731,241.872,181.749,245.000,182.000,0,0,13,400,0.000,0.413,0.618,1.065,avenue
10,19.251,406.347,541.899,410.000,541.000,0,0,13,400,0.000,0.412,0.730,0.377,melon
11,20.806,350.000,150.000,349.000,151.000,0,0,13,400,0.000,0.433
