JulianX250Y150jl,C,2014-08-07

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin
0,1.32880496979,350.0,50.0,347,47,0,0,19,600,0
1,2.65224289894,312.400029931,647.634410394,318,641,0,0,19,600,0
2,4.26025891304,424.606966149,59.4250516614,429,56,0,0,19,600,0
3,7.00095295906,239.562634195,628.932945766,249,633,1,0,19,600,1.27641977945
4,9.0376739502,494.526102231,87.1079959868,492,86,0,0,19,600,0
5,10.2940700054,173.664424312,592.705098312,172,595,0,0,19,600,0
6,13.5873069763,555.364131779,131.309411774,551,133,0,0,19,600,0
7,14.9036710262,118.846027167,541.227196925,127,539,0,0,19,600,0
8,16.0749161243,603.298377651,189.251961506,599,189,0,0,19,600,0
9,17.1142690182,78.5518842602,477.73378747,87,476,0,0,19,600,0
10,18.4291219711,635.316954889,257.294901688,639,263,0,0,19,600,0
11,21.5346889496,55.3138247814,406.214394376,67,405,1,0,19,600,2.74910400583
12,22.8618609905,649.408018528,331.162844141,651,329,0,0,19,600,0
13,25.3359830379,50.5919814715,331.162844141,52,329,0,0,19,600,0
14,27.035159111,644.686175219,406.214394376,635,395,1,0,19,600,5.81838829224
15,28.681704998,64.6830451115,257.294901688,68,264,0,0,19,600,0
16,30.0707941055,621.44811574,477.73378747,616,473,0,0,19,600,0
17,31.6665129662,96.7016223494,189.251961506,101,191,0,0,19,600,0
18,34.9029510021,581.153972833,541.227196925,590,539,1,0,19,600,0.122094210484
19,37.3907089233,144.635868221,131.309411774,141,127,0,0,19,600,0
20,39.2602629662,526.335575688,592.705098312,522,595,0,0,19,600,0
21,40.8750619888,205.473897769,87.1079959868,211,83,0,0,19,600,0
22,42.4072990417,460.437365805,628.932945766,459,636,0,0,19,600,0
23,43.8284471035,275.393033851,59.4250516614,275,55,0,0,19,600,0
24,45.4901940823,387.599970069,647.634410394,389,641,0,0,19,600,0
25,48.1064229012,350.0,50.0,354,33,1,0,19,600,8.46424919657
