julianX300Y150jl,A,2014-08-07

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin
0,0.786890983582,350.0,150.0,355,150,0,0,133,400,0
1,1.80298304558,324.933353287,548.422940263,278,645,1,0,133,400,41.3772234612
2,2.57212305069,399.737977433,156.283367774,424,115,0,0,133,400,0
3,3.38352608681,276.375089463,535.955297178,297,562,0,0,133,400,0
4,4.18915200233,446.35073482,174.738663991,425,162,0,0,133,400,0
5,5.03610801697,232.442949542,511.803398875,243,528,0,0,133,400,0
6,5.65363812447,486.909421186,204.206274516,442,194,0,0,133,400,0
7,6.32256603241,195.897351445,477.48479795,239,499,0,0,133,400,0
8,6.97072505951,518.8655851,242.834641004,527,250,0,0,133,400,0
9,7.89988994598,169.034589507,435.155858313,213,431,0,0,133,400,0
10,8.59237504005,540.211303259,288.196601125,516,275,0,0,133,400,0
11,9.34077191353,153.542549854,387.476262917,206,385,0,0,133,400,0
12,10.0263469219,549.605345686,337.441896094,561,311,0,0,133,400,0
13,10.6660459042,150.394654314,337.441896094,134,356,0,0,133,400,0
14,11.3702349663,546.457450146,387.476262917,504,365,0,0,133,400,0
15,12.0502500534,159.788696741,288.196601125,176,281,0,0,133,400,0
16,12.6999959946,530.965410493,435.155858313,486,441,0,0,133,400,0
17,13.3692600727,181.1344149,242.834641004,217,246,0,0,133,400,0
18,13.9787590504,504.102648555,477.48479795,489,515,0,0,133,400,0
19,14.7460250854,213.090578814,204.206274516,234,204,0,0,133,400,0
20,15.3929169178,467.557050458,511.803398875,461,530,0,0,133,400,0
21,16.0952680111,253.64926518,174.738663991,277,152,0,0,133,400,0
22,16.8134639263,423.624910537,535.955297178,419,546,0,0,133,400,0
23,17.8682229519,300.262022567,156.283367774,250,103,1,0,133,400,7.24881018759
24,18.5337738991,375.066646713,548.422940263,388,598,0,0,133,400,0
25,19.2530360222,350.0,150.0,370,112,0,0,133,400,0
