P41F6,B,2014-09-02

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,2.298,350.000,150.000,342.000,149.000,0,0,27,400,0.000,0.009,0.874,0.364,tree
1,3.230,293.653,541.899,298.000,546.000,0,0,27,400,0.000,0.609,0.796,0.653,ceiling
2,4.220,458.128,181.749,459.000,178.000,0,1,27,400,0.000,0.607,0.778,0.826,research
3,5.188,198.850,480.972,199.000,480.000,0,0,27,400,0.000,0.683,0.777,1.968,kettle
4,5.867,531.926,266.917,530.000,266.000,0,0,27,400,0.000,0.538,0.812,0.401,door
5,6.840,152.036,378.463,154.000,378.000,0,0,27,400,0.000,0.521,0.634,0.543,fingers
6,8.935,547.964,378.463,558.000,375.000,0,0,27,400,0.000,0.502,0.715,1.101,speakers
7,9.869,168.074,266.917,177.000,268.000,0,0,27,400,0.000,0.572,0.620,1.249,suitcase
8,11.960,501.150,480.972,498.000,482.000,0,0,27,400,0.000,0.269,0.998,1.116,pittsburgh
9,12.890,241.872,181.749,245.000,187.000,0,0,27,400,0.000,0.558,0.756,0.811,keyboard
10,14.135,406.347,541.899,406.000,534.000,0,0,27,400,0.000,0.712,1.034,0.417,melon
11,15.145,350.000,150.000,348.000,145.000,0,0,27,400,0.000,0.630
