P42F2,B,2014-09-03

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,1.447,350.000,150.000,352.000,140.000,0,0,27,400,0.000,1.461,1.046,2.479,candle
1,2.506,293.653,541.899,303.000,547.000,0,0,27,400,0.000,1.482,1.169,1.217,scanner
2,3.446,458.128,181.749,459.000,187.000,0,0,27,400,0.000,0.921,0.976,0.481,tree
3,4.388,198.850,480.972,201.000,484.000,0,0,27,400,0.000,1.350,1.037,2.158,microphone
4,5.625,531.926,266.917,540.000,265.000,0,0,27,400,0.000,0.997,1.037,0.339,male
5,8.408,152.036,378.463,138.000,366.000,1,0,27,400,5.770,1.036,0.989,0.441,cafe
6,11.103,547.964,378.463,542.000,377.000,0,0,27,400,0.000,0.861,1.202,1.317,backpack
7,12.211,168.074,266.917,174.000,267.000,0,0,27,400,0.000,1.843,1.165,1.110,computer
8,13.332,501.150,480.972,500.000,486.000,0,0,27,400,0.000,0.892,1.082,2.459,garbage
9,15.483,241.872,181.749,242.000,173.000,0,0,27,400,0.000,0.892,1.171,1.981,government
10,17.370,406.347,541.899,411.000,535.000,0,0,27,400,0.000,1.806,1.364,0.630,mouse
11,18.543,350.000,150.000,353.000,162.000,0,0,27,400,0.000,1.011
