P42F7,C,2014-09-03

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,1.724,350.000,150.000,353.000,153.000,0,0,13,400,0.000,0.010,1.534,0.323,him
1,4.114,293.653,541.899,292.000,543.000,0,0,13,400,0.000,1.072,0.876,1.274,suitcase
2,5.656,458.128,181.749,459.000,177.000,0,0,13,400,0.000,0.964,0.836,0.449,cafe
3,8.130,198.850,480.972,198.000,482.000,0,0,13,400,0.000,0.898,0.879,2.034,microphone
4,9.423,531.926,266.917,529.000,270.000,0,0,13,400,0.000,0.811,0.966,0.597,woods
5,11.138,152.036,378.463,158.000,378.000,0,0,13,400,0.000,0.889,0.851,0.609,woods
6,12.240,547.964,378.463,547.000,375.000,0,0,13,400,0.000,0.766,0.902,1.150,speakers
7,14.570,168.074,266.917,171.000,265.000,0,0,13,400,0.000,0.873,0.858,1.050,speakers
8,15.723,501.150,480.972,497.000,481.000,0,0,13,400,0.000,0.852,0.912,2.241,pittsburgh
9,17.417,241.872,181.749,244.000,184.000,0,0,13,400,0.000,0.900,1.089,2.499,backpack
10,19.577,406.347,541.899,411.000,544.000,0,0,13,400,0.000,1.102,0.929,0.479,tree
11,20.996,350.000,150.000,348.000,150.000,0,0,13,400,0.000,1.040
