TestZhen,A,2014-09-06

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,0.723,350.000,150.000,354.000,152.000,0,0,57,400,0.000,0.007,2.718,0.384,you
1,2.695,293.653,541.899,290.000,540.000,0,0,57,400,0.000,0.896,1.557,0.896,napkin
2,1.799,458.128,181.749,465.000,206.000,0,0,57,400,0.000,0.860,0.960,0.922,street
3,4.672,198.850,480.972,196.000,482.000,0,0,57,400,0.000,0.938,1.055,0.317,you
4,3.776,531.926,266.917,524.000,265.000,0,0,57,400,0.000,0.879,0.937,1.204,woods
5,2.917,152.036,378.463,154.000,377.000,0,0,57,400,0.000,0.837,1.810,2.133,kettle
6,6.635,547.964,378.463,555.000,365.000,0,0,57,400,0.000,0.824,0.852,1.226,research
7,5.739,168.074,266.917,182.000,278.000,0,0,57,400,0.000,0.877,1.017,0.719,female
8,4.879,501.150,480.972,501.000,465.000,0,0,57,400,0.000,0.925,0.803,1.591,street
9,3.942,241.872,181.749,255.000,191.000,0,0,57,400,0.000,0.051,1.011,6.896,government
10,8.380,406.347,541.899,414.000,528.000,0,0,57,400,0.000,0.854,0.945,1.369,college
11,7.484,350.000,150.000,361.000,163.000,0,1,57,400,0.000,0.721
