TestZhen,B,2014-09-06

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,1.324,350.000,150.000,355.000,147.000,0,0,27,400,0.000,0.010,1.004,0.393,cafe
1,3.385,293.653,541.899,295.000,533.000,0,0,27,400,0.000,0.758,0.924,0.469,towel
2,2.627,458.128,181.749,456.000,194.000,0,0,27,400,0.000,0.874,0.763,0.655,female
3,5.667,198.850,480.972,190.000,473.000,0,0,27,400,0.000,0.841,0.838,0.655,friend
4,4.909,531.926,266.917,537.000,264.000,0,0,27,400,0.000,0.759,0.822,1.018,fingers
5,4.035,152.036,378.463,151.000,376.000,0,0,27,400,0.000,0.741,0.806,0.401,male
6,7.681,547.964,378.463,550.000,381.000,0,0,27,400,0.000,0.836,0.841,2.728,friend
7,6.923,168.074,266.917,169.000,274.000,0,0,27,400,0.000,0.788,1.273,0.631,gates
8,6.049,501.150,480.972,497.000,483.000,0,0,27,400,0.000,0.900,0.832,2.774,government
9,5.208,241.872,181.749,239.000,185.000,0,0,27,400,0.000,0.801,0.842,0.726,table
10,9.377,406.347,541.899,403.000,542.000,0,0,27,400,0.000,0.772,0.916,1.488,government
11,8.619,350.000,150.000,350.000,154.000,0,0,27,400,0.000,0.057
