julianTest,B,2014-08-28

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,3.875,350.000,150.000,350.000,144.000,0,0,27,400,0.000,1.267,2.419,5.175,undercast
1,15.300,293.653,541.899,295.000,535.000,0,0,27,400,0.000,1.680,1.217,13.812,unselfconsciousness
2,32.883,458.128,181.749,456.000,183.000,0,0,27,400,0.000,1.178,1.137,0.820,tumbrel
3,37.233,198.850,480.972,198.000,474.000,0,0,27,400,0.000,1.277,1.492,0.626,keifer
4,42.452,531.926,266.917,533.000,263.000,0,0,27,400,0.000,1.106,1.312,2.355,fountainless
5,48.925,152.036,378.463,160.000,381.000,0,0,27,400,0.000,1.235,1.113,4.505,floweriness
6,56.955,547.964,378.463,540.000,376.000,0,0,27,400,0.000,1.303,1.953,2.896,nonutterance
7,63.849,168.074,266.917,167.000,273.000,0,0,27,400,0.000,1.153,1.130,0.652,mihail
8,67.704,501.150,480.972,498.000,480.000,0,0,27,400,0.000,1.048,1.443,0.647,marlene
9,72.021,241.872,181.749,242.000,188.000,0,0,27,400,0.000,1.058,1.502,0.488,iwis
10,76.406,406.347,541.899,407.000,540.000,0,0,27,400,0.000,1.126,1.112,3.528,counteraction
11,84.437,350.000,150.000,358.000,149.000,0,1,27,400,0.000,1.048
