julianTest,C,2014-09-05

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,4.417,350.000,150.000,349.000,151.000,0,0,13,400,0.000,0.004,1.791,0.572,female
1,11.633,293.653,541.899,294.000,542.000,0,0,13,400,0.000,0.866,2.564,0.515,bring
2,10.768,458.128,181.749,460.000,182.000,0,0,13,400,0.000,1.556,2.386,1.177,towel
3,14.817,198.850,480.972,202.000,482.000,0,0,13,400,0.000,0.923,2.853,0.218,you
4,13.951,531.926,266.917,528.000,271.000,0,0,13,400,0.000,1.098,1.417,0.494,door
5,12.396,152.036,378.463,150.000,377.000,0,0,13,400,0.000,0.864,1.590,1.007,garbage
6,17.888,547.964,378.463,549.000,377.000,0,0,13,400,0.000,0.887,2.997,0.690,center
7,17.022,168.074,266.917,170.000,265.000,0,0,13,400,0.000,0.930,1.196,0.931,ceiling
8,15.466,501.150,480.972,504.000,478.000,0,0,13,400,0.000,1.433,8.665,0.644,street
9,14.543,241.872,181.749,238.000,184.000,0,0,13,400,0.000,1.667,2.626,0.920,computer
10,24.495,406.347,541.899,407.000,543.000,0,0,13,400,0.000,0.917,1.792,0.605,google
11,23.629,350.000,150.000,352.000,147.000,0,0,13,400,0.000,0.956
