juliantest mouse,C,2014-09-05

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,1.607,350.000,50.000,350.000,57.000,1,0,13,600,1.000,0.768,0.655,0.469,woods
1,3.343,265.480,637.848,265.000,638.000,0,0,13,600,0.000,0.485,0.766,1.768,cafe
2,2.858,512.192,97.624,512.000,100.000,0,0,13,600,0.000,0.268,0.942,1.076,government
3,5.564,123.275,546.458,122.000,533.000,1,0,13,600,7.518,0.753,0.972,0.324,bring
4,5.079,622.890,225.375,622.000,228.000,0,0,13,600,0.000,0.666,0.851,0.728,tissue
5,4.811,53.054,392.694,55.000,392.000,0,0,13,600,0.000,0.604,0.697,0.585,garbage
6,7.656,646.946,392.694,645.000,397.000,0,0,13,600,0.000,0.457,0.730,0.581,garbage
7,7.171,77.110,225.375,75.000,225.000,0,0,13,600,0.000,0.523,0.956,1.058,toothpaste
8,6.903,576.725,546.458,579.000,547.000,0,0,13,600,0.000,0.419,0.721,0.459,chair
9,6.150,187.808,97.624,185.000,101.000,0,0,13,600,0.000,0.606,0.798,0.753,carnegie
10,9.225,434.520,637.848,437.000,641.000,0,0,13,600,0.000,0.558,0.705,0.755,tissue
11,8.740,350.000,50.000,353.000,48.000,0,0,13,600,0.000,0.658
