sad,C,2014-09-05

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,1.153,350.000,150.000,352.000,153.000,0,0,13,400,0.000,0.509,0.622,0.116,ba
1,2.525,293.653,541.899,295.000,543.000,0,0,13,400,0.000,0.323,0.704,0.103,ab
2,4.300,458.128,181.749,459.000,186.000,0,0,13,400,0.000,0.416,0.688,0.127,ba
3,6.398,198.850,480.972,201.000,480.000,0,0,13,400,0.000,0.279,0.694,0.109,ab
4,7.646,531.926,266.917,535.000,269.000,0,0,13,400,0.000,0.341,0.601,0.118,ba
5,9.063,152.036,378.463,154.000,380.000,0,0,13,400,0.000,0.339,0.558,0.111,ab
6,10.839,547.964,378.463,549.000,380.000,0,0,13,400,0.000,0.373,0.884,0.110,ba
7,13.463,168.074,266.917,171.000,268.000,0,0,13,400,0.000,0.454,0.673,0.110,ab
8,15.059,501.150,480.972,504.000,482.000,0,0,13,400,0.000,0.375,0.761,0.106,ba
9,16.652,241.872,181.749,244.000,182.000,0,0,13,400,0.000,0.324,0.472,0.119,ab
10,18.835,406.347,541.899,409.000,543.000,0,0,13,400,0.000,0.324,0.789,0.127,ba
11,20.977,350.000,150.000,349.000,152.000,0,0,13,400,0.000,0.318
