StevenFatigue1,C,2014-08-18

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time
0,0.898523807526,350.0,50.0,348,45,0,0,19,600,0,0.286607980728
1,1.80694198608,312.400029931,647.634410394,312,647,0,0,19,600,0,0.171506881714
2,2.75359892845,424.606966149,59.4250516614,422,62,0,0,19,600,0,0.26141500473
3,3.63806700706,239.562634195,628.932945766,242,630,0,0,19,600,0,0.171514034271
4,4.40447473526,494.526102231,87.1079959868,493,88,0,0,19,600,0,0.163601160049
5,5.50044465065,173.664424312,592.705098312,173,592,0,0,19,600,0,0.155491113663
6,6.3969438076,555.364131779,131.309411774,552,128,0,0,19,600,0,0.180065870285
7,7.57151913643,118.846027167,541.227196925,118,540,0,0,19,600,0,0.187411785126
8,8.44643187523,603.298377651,189.251961506,602,185,0,0,19,600,0,0.253502130508
9,9.34735608101,78.5518842602,477.73378747,78,475,0,0,19,600,0,0.00499892234802
10,11.2702498436,635.316954889,257.294901688,642,251,1,0,19,600,0.180897516976,0.0011510848999
11,12.1052019596,55.3138247814,406.214394376,53,401,0,0,19,600,0,0.269042015076
12,12.9711458683,649.408018528,331.162844141,646,335,0,0,19,600,0,0.251527070999
13,13.9037537575,50.5919814715,331.162844141,50,332,0,0,19,600,0,0.287891149521
14,14.6922457218,644.686175219,406.214394376,645,405,0,0,19,600,0,0.281526088715
15,15.4246497154,64.6830451115,257.294901688,71,255,0,0,19,600,0,0.259611845016
16,16.4873616695,621.44811574,477.73378747,622,476,0,0,19,600,0,0.181303977966
17,17.742099762,96.7016223494,189.251961506,96,188,0,0,19,600,0,0.279688119888
18,18.5626308918,581.153972833,541.227196925,579,539,0,0,19,600,0,0.305425882339
19,19.449229002,144.635868221,131.309411774,140,130,0,0,19,600,0,0.21933889389
20,20.6298730373,526.335575688,592.705098312,522,590,0,0,19,600,0,0.209384918213
21,21.4039318562,205.473897769,87.1079959868,205,89,0,0,19,600,0,0.233375072479
22,22.0505747795,460.437365805,628.932945766,457,633,0,0,19,600,0,0.241949081421
23,23.0850839615,275.393033851,59.4250516614,275,60,0,0,19,600,0,0.24348282814
24,24.0375277996,387.599970069,647.634410394,390,656,0,0,19,600,0,0.229556083679
25,24.7487220764,350.0,50.0,352,45,0,0,19,600,0,0.235314846039
