StevenFatigue10,A,2014-08-19

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time
0,0.296475887299,350.0,150.0,300,176,0,0,133,400,0,0.0553500652313
1,1.09109282494,324.933353287,548.422940263,330,613,0,0,133,400,0,0.271476984024
2,2.11358809471,399.737977433,156.283367774,409,194,0,0,133,400,0,0.313501834869
3,2.81180095673,276.375089463,535.955297178,266,508,0,0,133,400,0,0.503345012665
4,3.93425893784,446.35073482,174.738663991,455,178,0,0,133,400,0,0.248008012772
5,5.11529493332,232.442949542,511.803398875,277,461,1,0,133,400,1.57452243865,0.657309055328
6,6.05395317078,486.909421186,204.206274516,501,182,0,0,133,400,0,0.243363857269
7,6.58467316628,195.897351445,477.48479795,201,455,0,0,133,400,0,0.463248968124
8,6.99516105652,518.8655851,242.834641004,480,261,0,0,133,400,0,0.207567214966
9,7.78220701218,169.034589507,435.155858313,178,401,0,0,133,400,0,0.222934961319
10,8.31289982796,540.211303259,288.196601125,548,292,0,0,133,400,0,0.311346054077
11,8.73084998131,153.542549854,387.476262917,127,381,0,0,133,400,0,0.267400979996
12,9.49935698509,549.605345686,337.441896094,624,369,1,0,133,400,14.8113761341,0.176167964935
13,10.2325057983,150.394654314,337.441896094,152,390,0,0,133,400,0,0.0047070980072
14,10.938450098,546.457450146,387.476262917,499,411,0,0,133,400,0,0.199616909027
15,11.4531049728,159.788696741,288.196601125,157,341,0,0,133,400,0,0.223917961121
16,12.3916897774,530.965410493,435.155858313,472,420,0,0,133,400,0,0.207429170609
17,13.058095932,181.1344149,242.834641004,221,291,0,0,133,400,0,0.215512990952
18,13.5167608261,504.102648555,477.48479795,447,448,0,0,133,400,0,0.223745107651
19,14.1991517544,213.090578814,204.206274516,267,258,1,0,133,400,10.1576693056,0.223582983017
20,14.4961078167,467.557050458,511.803398875,439,479,0,0,133,400,0,0.311372041702
21,14.7607245445,253.64926518,174.738663991,201,178,0,0,133,400,0,0.285046100616
22,15.1851406097,423.624910537,535.955297178,365,528,0,0,133,400,0,0.207638978958
23,15.6092717648,300.262022567,156.283367774,295,199,0,0,133,400,0,0.201684951782
24,16.5121147633,375.066646713,548.422940263,330,478,1,0,133,400,17.608571099,0.0192890167236
25,17.5300555229,350.0,150.0,319,33,1,0,133,400,55.0371843691,0.159635066986
