StevenFatigue4,B,2014-08-18

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time
0,0.474577903748,350.0,150.0,342,154,0,0,58,400,0,0.578441143036
1,1.05103683472,324.933353287,548.422940263,325,560,0,0,58,400,0,0.295502185822
2,2.3586397171,399.737977433,156.283367774,420,147,0,0,58,400,0,0.00187397003174
3,3.14539074898,276.375089463,535.955297178,270,521,0,0,58,400,0,0.313770055771
4,4.43581557274,446.35073482,174.738663991,457,195,0,0,58,400,0,0.321449041367
5,5.03862380981,232.442949542,511.803398875,229,525,0,0,58,400,0,0.423626899719
6,5.96732163429,486.909421186,204.206274516,486,225,0,0,58,400,0,0.263396024704
7,6.91332578659,195.897351445,477.48479795,194,496,0,0,58,400,0,0.391321897507
8,7.69989967346,518.8655851,242.834641004,525,241,0,0,58,400,0,0.287995100021
9,8.268409729,169.034589507,435.155858313,143,443,0,0,58,400,0,0.289582014084
10,9.20278072357,540.211303259,288.196601125,557,292,0,0,58,400,0,0.369636058807
11,9.79727554321,153.542549854,387.476262917,156,395,0,0,58,400,0,0.319447040558
12,10.3756895065,549.605345686,337.441896094,539,333,0,0,58,400,0,0.223520040512
13,11.0582659245,150.394654314,337.441896094,170,334,0,0,58,400,0,0.263601779938
14,11.7087547779,546.457450146,387.476262917,551,393,0,0,58,400,0,0.231385946274
15,12.6713798046,159.788696741,288.196601125,173,287,0,0,58,400,0,0.243551969528
16,13.1678669453,530.965410493,435.155858313,528,443,0,0,58,400,0,0.273313999176
17,13.6663668156,181.1344149,242.834641004,164,241,0,0,58,400,0,0.239561080933
18,14.7270555496,504.102648555,477.48479795,487,482,0,0,58,400,0,0.239337205887
19,15.2818026543,213.090578814,204.206274516,212,195,0,0,58,400,0,0.395303010941
20,15.7941844463,467.557050458,511.803398875,473,510,0,0,58,400,0,0.311808109283
21,16.3067097664,253.64926518,174.738663991,270,183,0,0,58,400,0,0.281634807587
22,17.2051959038,423.624910537,535.955297178,428,550,0,0,58,400,0,0.46550989151
23,17.823114872,300.262022567,156.283367774,297,151,0,0,58,400,0,0.379462003708
24,18.5694198608,375.066646713,548.422940263,381,548,0,0,58,400,0,0.400074958801
25,19.2678728104,350.0,150.0,342,150,0,0,58,400,0,0.343667984009
