StevenX350Y150jl,A,2014-08-07

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin
0,0.732716798782,350.0,150.0,338,107,0,0,133,400,0
1,1.95579099655,324.933353287,548.422940263,318,533,0,0,133,400,0
2,2.83714485168,399.737977433,156.283367774,366,157,0,0,133,400,0
3,3.93060183525,276.375089463,535.955297178,238,638,1,0,133,400,43.0218733347
4,5.42572188377,446.35073482,174.738663991,421,181,0,0,133,400,0
5,6.257365942,232.442949542,511.803398875,248,517,0,0,133,400,0
6,6.9474029541,486.909421186,204.206274516,483,181,0,0,133,400,0
7,7.63334798813,195.897351445,477.48479795,225,527,0,0,133,400,0
8,8.38156199455,518.8655851,242.834641004,503,230,0,0,133,400,0
9,9.08060598373,169.034589507,435.155858313,199,474,0,0,133,400,0
10,10.6999349594,540.211303259,288.196601125,467,279,1,0,133,400,7.78666815312
11,11.5473258495,153.542549854,387.476262917,178,395,0,0,133,400,0
12,12.333878994,549.605345686,337.441896094,543,357,0,0,133,400,0
13,13.1016089916,150.394654314,337.441896094,150,340,0,0,133,400,0
14,13.8715369701,546.457450146,387.476262917,553,389,0,0,133,400,0
15,15.4063029289,159.788696741,288.196601125,214,240,1,0,133,400,6.53811247231
16,16.2677037716,530.965410493,435.155858313,532,433,0,0,133,400,0
17,17.0783817768,181.1344149,242.834641004,189,241,0,0,133,400,0
18,18.0391199589,504.102648555,477.48479795,500,491,0,0,133,400,0
19,18.6659829617,213.090578814,204.206274516,217,191,0,0,133,400,0
20,19.4045529366,467.557050458,511.803398875,446,527,0,0,133,400,0
21,20.0432908535,253.64926518,174.738663991,266,147,0,0,133,400,0
22,20.7057600021,423.624910537,535.955297178,409,582,0,0,133,400,0
23,21.26420784,300.262022567,156.283367774,288,123,0,0,133,400,0
24,21.9316658974,375.066646713,548.422940263,393,583,0,0,133,400,0
25,22.4686348438,350.0,150.0,332,160,0,0,133,400,0
