SCFatigue05,B,2014-08-12

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time
0,0.20059299469,350.0,150.0,346,173,0,0,58,400,0,0.370221853256
1,0.843026161194,324.933353287,548.422940263,334,546,0,0,58,400,0,0.223608016968
2,1.4929330349,399.737977433,156.283367774,407,184,0,0,58,400,0,0.283457994461
3,2.12750196457,276.375089463,535.955297178,270,544,0,0,58,400,0,0.272138118744
4,2.75206780434,446.35073482,174.738663991,453,183,0,0,58,400,0,0.111284017563
5,3.37893795967,232.442949542,511.803398875,234,500,0,0,58,400,0,0.151411056519
6,3.96338701248,486.909421186,204.206274516,499,211,0,0,58,400,0,0.135329961777
7,4.71584892273,195.897351445,477.48479795,209,461,0,0,58,400,0,0.159491062164
8,5.18232297897,518.8655851,242.834641004,516,242,0,0,58,400,0,0.199590921402
9,5.72829699516,169.034589507,435.155858313,167,430,0,0,58,400,0,0.213876962662
10,6.32883501053,540.211303259,288.196601125,555,286,0,0,58,400,0,0.167912960052
11,6.90126180649,153.542549854,387.476262917,161,393,0,0,58,400,0,0.223617076874
12,7.46372103691,549.605345686,337.441896094,544,348,0,0,58,400,0,0.181573867798
13,7.88208389282,150.394654314,337.441896094,147,329,0,0,58,400,0,0.235546112061
14,8.35653376579,546.457450146,387.476262917,547,400,0,0,58,400,0,0.197588205338
15,9.18333554268,159.788696741,288.196601125,196,299,1,0,58,400,8.78851559627,0.223652124405
16,10.0739705563,530.965410493,435.155858313,535,444,0,0,58,400,0,0.231461048126
17,10.5405344963,181.1344149,242.834641004,183,225,0,0,58,400,0,0.231335163116
18,11.0691063404,504.102648555,477.48479795,508,469,0,0,58,400,0,0.203382968903
19,11.4875555038,213.090578814,204.206274516,212,192,0,0,58,400,0,0.21760392189
20,12.1463673115,467.557050458,511.803398875,469,519,0,0,58,400,0,0.213394165039
21,12.8068795204,253.64926518,174.738663991,249,176,0,0,58,400,0,0.167271852493
22,13.4332644939,423.624910537,535.955297178,425,544,0,0,58,400,0,0.229542016983
23,14.1478843689,300.262022567,156.283367774,305,145,0,0,58,400,0,0.347601175308
24,14.9626114368,375.066646713,548.422940263,372,549,0,0,58,400,0,0.0011739730835
25,15.619130373,350.0,150.0,358,155,0,0,58,400,0,0.121327877045
