scf7,A,2014-08-12

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time
0,0.264588832855,350.0,150.0,383,160,0,0,133,400,0,0.288124084473
1,0.586823940277,324.933353287,548.422940263,317,568,0,0,133,400,0,0.215251922607
2,1.01950001717,399.737977433,156.283367774,409,103,0,0,133,400,0,0.183773994446
3,1.56437897682,276.375089463,535.955297178,296,532,0,0,133,400,0,0.269062995911
4,2.14282798767,446.35073482,174.738663991,441,140,0,0,133,400,0,0.215532064438
5,2.51347994804,232.442949542,511.803398875,246,508,0,0,133,400,0,0.22341799736
6,3.17763090134,486.909421186,204.206274516,448,238,0,0,133,400,0,0.0634009838104
7,3.51418972015,195.897351445,477.48479795,219,489,0,0,133,400,0,0.217958211899
8,3.98028850555,518.8655851,242.834641004,518,264,0,0,133,400,0,0.119851112366
9,4.28482365608,169.034589507,435.155858313,216,414,0,0,133,400,0,0.151474952698
10,4.87919735909,540.211303259,288.196601125,525,289,0,0,133,400,0,0.159530162811
11,5.32702755928,153.542549854,387.476262917,200,392,0,0,133,400,0,0.191726922989
12,5.61553549767,549.605345686,337.441896094,576,338,0,0,133,400,0,0.334061145782
13,5.92239046097,150.394654314,337.441896094,107,338,0,0,133,400,0,0.15118098259
14,6.42635345459,546.457450146,387.476262917,530,369,0,0,133,400,0,0.159394025803
15,7.22888541222,159.788696741,288.196601125,245,344,1,0,133,400,35.8576729025,0.111973047256
16,7.6234703064,530.965410493,435.155858313,474,408,0,0,133,400,0,0.183485984802
17,8.52608942986,181.1344149,242.834641004,250,258,1,0,133,400,4.51565021109,0.136829853058
18,9.01715064049,504.102648555,477.48479795,494,491,0,0,133,400,0,0.261890888214
19,9.46613550186,213.090578814,204.206274516,217,192,0,0,133,400,0,0.207020998001
20,9.97293972969,467.557050458,511.803398875,474,498,0,0,133,400,0,0.191144943237
21,10.3780038357,253.64926518,174.738663991,236,188,0,0,133,400,0,0.206970930099
22,10.7564988136,423.624910537,535.955297178,411,536,0,0,133,400,0,0.221462965012
23,11.0707099438,300.262022567,156.283367774,312,101,0,0,133,400,0,0.269408941269
24,11.3675718307,375.066646713,548.422940263,345,521,0,0,133,400,0,0.211879968643
25,11.7300710678,350.0,150.0,346,102,0,0,133,400,0,0.199133872986
