ZhenA85B20NewT1,B,2014-08-19

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time
0,0.776066064835,350.0,150.0,335,160,0,0,58,400,0,0.0078399181366
1,1.70073103905,324.933353287,548.422940263,322,542,0,0,58,400,0,0.00102710723877
2,2.58838105202,399.737977433,156.283367774,404,154,0,0,58,400,0,0.00112390518188
3,3.57373595238,276.375089463,535.955297178,290,542,0,0,58,400,0,0.00150513648987
4,4.23638105392,446.35073482,174.738663991,420,170,0,0,58,400,0,0.00200486183167
5,5.27975583076,232.442949542,511.803398875,230,520,0,0,58,400,0,0.00213813781738
6,6.02269291878,486.909421186,204.206274516,467,197,0,0,58,400,0,0.000458002090454
7,6.71590900421,195.897351445,477.48479795,183,498,0,0,58,400,0,0.00331401824951
8,7.49452495575,518.8655851,242.834641004,490,241,0,0,58,400,0,0.000659942626953
9,8.47790884972,169.034589507,435.155858313,171,449,0,0,58,400,0,0.00099515914917
10,9.25962090492,540.211303259,288.196601125,528,280,0,0,58,400,0,0.000360012054443
11,11.5704438686,153.542549854,387.476262917,125,412,1,0,58,400,8.63098235088,0.000720024108887
12,12.4736328125,549.605345686,337.441896094,535,343,0,0,58,400,0,0.00100493431091
13,13.3846945763,150.394654314,337.441896094,151,326,0,0,58,400,0,0.000387191772461
14,14.3283085823,546.457450146,387.476262917,535,391,0,0,58,400,0,0.0014979839325
15,15.4373419285,159.788696741,288.196601125,113,278,1,0,58,400,18.8868752084,0.000378847122192
16,16.4482450485,530.965410493,435.155858313,528,427,0,0,58,400,0,0.000264883041382
17,17.2708418369,181.1344149,242.834641004,174,242,0,0,58,400,0,0.00231504440308
18,19.0288915634,504.102648555,477.48479795,473,469,1,0,58,400,3.23920816946,0.000577211380005
19,20.088550806,213.090578814,204.206274516,226,204,0,0,58,400,0,0.00095796585083
20,20.930798769,467.557050458,511.803398875,481,499,0,0,58,400,0,0.00151801109314
21,21.8116977215,253.64926518,174.738663991,243,160,0,0,58,400,0,0.00189590454102
22,22.7367360592,423.624910537,535.955297178,437,528,0,0,58,400,0,0.00132584571838
23,23.4552938938,300.262022567,156.283367774,297,152,0,0,58,400,0,0.000308036804199
24,24.9378108978,375.066646713,548.422940263,404,564,1,0,58,400,3.86006272806,0.000256061553955
25,25.663369894,350.0,150.0,358,150,0,0,58,400,0,0.00105094909668
