ZhenA85B20NewT2,C,2014-08-19

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time
0,1.08160495758,350.0,50.0,349,48,0,0,19,600,0,0.00475215911865
1,2.73003101349,312.400029931,647.634410394,313,644,0,0,19,600,0,0.0019359588623
2,3.83225107193,424.606966149,59.4250516614,426,67,0,0,19,600,0,0.00258994102478
3,5.1867480278,239.562634195,628.932945766,243,630,0,0,19,600,0,0.00184988975525
4,6.84416508675,494.526102231,87.1079959868,494,79,0,0,19,600,0,0.00187301635742
5,8.40205812454,173.664424312,592.705098312,175,591,0,0,19,600,0,0.000324964523315
6,10.1957099438,555.364131779,131.309411774,561,128,0,0,19,600,0,0.00178813934326
7,12.1240298748,118.846027167,541.227196925,120,542,0,0,19,600,0,0.00210118293762
8,13.3987107277,603.298377651,189.251961506,604,191,0,0,19,600,0,0.00161504745483
9,14.9804239273,78.5518842602,477.73378747,77,474,0,0,19,600,0,0.000455856323242
10,17.2054448128,635.316954889,257.294901688,632,247,1,0,19,600,1.81606169029,0.00157904624939
11,19.0645670891,55.3138247814,406.214394376,56,413,0,0,19,600,0,0.00234985351562
12,20.3345198631,649.408018528,331.162844141,646,337,0,0,19,600,0,0.000380039215088
13,22.158769846,50.5919814715,331.162844141,43,333,0,0,19,600,0,0.000288009643555
14,23.774326086,644.686175219,406.214394376,642,413,0,0,19,600,0,0.00161099433899
15,25.6143410206,64.6830451115,257.294901688,65,254,0,0,19,600,0,0.000403881072998
16,27.4849159718,621.44811574,477.73378747,619,477,0,0,19,600,0,0.00142121315002
17,28.7417290211,96.7016223494,189.251961506,98,187,0,0,19,600,0,0.000532865524292
18,30.7008941174,581.153972833,541.227196925,580,542,0,0,19,600,0,0.00310492515564
19,32.295345068,144.635868221,131.309411774,150,132,0,0,19,600,0,0.00163292884827
20,33.8667902946,526.335575688,592.705098312,520,591,0,0,19,600,0,0.00224280357361
21,35.2788045406,205.473897769,87.1079959868,209,80,0,0,19,600,0,0.000433921813965
22,37.0382275581,460.437365805,628.932945766,459,627,0,0,19,600,0,0.001788854599
23,38.5899367332,275.393033851,59.4250516614,282,56,0,0,19,600,0,0.00133895874023
24,40.6259095669,387.599970069,647.634410394,396,645,0,0,19,600,0,0.0019359588623
25,42.2036669254,350.0,50.0,350,50,0,0,19,600,0,0.000487804412842
