ZhenA85B20OffT1,A,2014-08-19

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time
0,0.466726064682,350.0,150.0,302,188,0,0,133,400,0,0.00357794761658
1,1.23349905014,324.933353287,548.422940263,347,537,0,0,133,400,0,0.00140595436096
2,1.75762677193,399.737977433,156.283367774,396,189,0,0,133,400,0,0.000393152236938
3,2.31336688995,276.375089463,535.955297178,326,579,0,0,133,400,0,0.000637054443359
4,3.2063498497,446.35073482,174.738663991,440,197,0,0,133,400,0,0.00185203552246
5,4.18333554268,232.442949542,511.803398875,302,513,1,0,133,400,3.56734235788,0.000393152236938
6,4.80846786499,486.909421186,204.206274516,485,234,0,0,133,400,0,0.00200581550598
7,5.42022585869,195.897351445,477.48479795,205,497,0,0,133,400,0,0.00200700759888
8,5.98930573463,518.8655851,242.834641004,489,227,0,0,133,400,0,0.00234007835388
9,6.59287667274,169.034589507,435.155858313,194,428,0,0,133,400,0,0.000940084457397
10,7.08176183701,540.211303259,288.196601125,567,275,0,0,133,400,0,0.000320911407471
11,7.66428565979,153.542549854,387.476262917,143,410,0,0,133,400,0,0.000977039337158
12,8.17939567566,549.605345686,337.441896094,507,325,0,0,133,400,0,0.000301122665405
13,8.76006054878,150.394654314,337.441896094,125,359,0,0,133,400,0,0.00105500221252
14,10.7873735428,546.457450146,387.476262917,492,425,1,0,133,400,0.13353703711,0.000380992889404
15,11.5553436279,159.788696741,288.196601125,155,264,0,0,133,400,0,0.000436067581177
16,12.2094504833,530.965410493,435.155858313,518,450,0,0,133,400,0,0.000797033309937
17,12.7953083515,181.1344149,242.834641004,171,274,0,0,133,400,0,0.000832080841064
18,13.404112339,504.102648555,477.48479795,536,496,0,0,133,400,0,0.00193905830383
19,15.1292114258,213.090578814,204.206274516,220,275,1,0,133,400,5.13010381734,0.00257301330566
20,15.8465943336,467.557050458,511.803398875,494,513,0,0,133,400,0,0.000391960144043
21,16.6015284061,253.64926518,174.738663991,272,194,0,0,133,400,0,0.000304937362671
22,17.2656443119,423.624910537,535.955297178,447,518,0,0,133,400,0,0.000358104705811
23,17.8529372215,300.262022567,156.283367774,317,143,0,0,133,400,0,0.000508069992065
24,18.6942770481,375.066646713,548.422940263,418,530,0,0,133,400,0,0.00101613998413
25,19.2751202583,350.0,150.0,339,130,0,0,133,400,0,0.00163388252258
